source_file,disease,cases
cdi_ca_1956_wk_prov_dbs_Part1.csv,Chickenpox,927
cdi_ca_1956_wk_prov_dbs_Part1.csv,Mumps,809
cdi_ca_1956_wk_prov_dbs_Part2.csv,Chickenpox,1369
cdi_ca_1956_wk_prov_dbs_Part2.csv,Mumps,923
cdi_ca_1956_wk_prov_dbs_Part3.csv,Chickenpox,1145
cdi_ca_1956_wk_prov_dbs_Part3.csv,Mumps,709
cdi_ca_1956_wk_prov_dbs_Part4.csv,Chickenpox,1345
cdi_ca_1956_wk_prov_dbs_Part4.csv,Mumps,1007
cdi_ca_1956_wk_prov_dbs_Part5.csv,Chickenpox,1285
cdi_ca_1956_wk_prov_dbs_Part5.csv,Mumps,1084
cdi_ca_1956_wk_prov_dbs_Part6.csv,Chickenpox,1279
cdi_ca_1956_wk_prov_dbs_Part6.csv,Mumps,876
cdi_ca_1956_wk_prov_dbs_Part7.csv,Chickenpox,1303
cdi_ca_1956_wk_prov_dbs_Part7.csv,Mumps,886
cdi_ca_1956_wk_prov_dbs_Part8.csv,Chickenpox,1199
cdi_ca_1956_wk_prov_dbs_Part8.csv,Mumps,1102
cdi_ca_1956_wk_prov_dbs_Part9.csv,Chickenpox,1224
cdi_ca_1956_wk_prov_dbs_Part9.csv,Mumps,904
cdi_ca_1956_wk_prov_dbs_Part10.csv,Chickenpox,1111
cdi_ca_1956_wk_prov_dbs_Part10.csv,Mumps,820
cdi_ca_1956_wk_prov_dbs_Part11.csv,Chickenpox,1135
cdi_ca_1956_wk_prov_dbs_Part11.csv,Mumps,1139
cdi_ca_1956_wk_prov_dbs_Part12.csv,Chickenpox,1028
cdi_ca_1956_wk_prov_dbs_Part12.csv,Mumps,926
cdi_ca_1956_wk_prov_dbs_Part13.csv,Chickenpox,690
cdi_ca_1956_wk_prov_dbs_Part13.csv,Mumps,715
cdi_ca_1956_wk_prov_dbs_Part14.csv,Chickenpox,813
cdi_ca_1956_wk_prov_dbs_Part14.csv,Mumps,709
cdi_ca_1956_wk_prov_dbs_Part15.csv,Chickenpox,848
cdi_ca_1956_wk_prov_dbs_Part15.csv,Mumps,852
cdi_ca_1956_wk_prov_dbs_Part16.csv,Chickenpox,883
cdi_ca_1956_wk_prov_dbs_Part16.csv,Mumps,1050
cdi_ca_1956_wk_prov_dbs_Part17.csv,Chickenpox,871
cdi_ca_1956_wk_prov_dbs_Part17.csv,Mumps,783
cdi_ca_1956_wk_prov_dbs_Part18.csv,Chickenpox,766
cdi_ca_1956_wk_prov_dbs_Part18.csv,Mumps,791
cdi_ca_1956_wk_prov_dbs_Part19.csv,Chickenpox,715
cdi_ca_1956_wk_prov_dbs_Part19.csv,Mumps,676
cdi_ca_1956_wk_prov_dbs_Part20.csv,Chickenpox,820
cdi_ca_1956_wk_prov_dbs_Part20.csv,Mumps,542
cdi_ca_1956_wk_prov_dbs_Part21.csv,Chickenpox,841
cdi_ca_1956_wk_prov_dbs_Part21.csv,Mumps,574
cdi_ca_1956_wk_prov_dbs_Part22.csv,Chickenpox,750
cdi_ca_1956_wk_prov_dbs_Part22.csv,Mumps,629
cdi_ca_1956_wk_prov_dbs_Part23.csv,Chickenpox,804
cdi_ca_1956_wk_prov_dbs_Part23.csv,Mumps,662
cdi_ca_1956_wk_prov_dbs_Part24.csv,Chickenpox,611
cdi_ca_1956_wk_prov_dbs_Part24.csv,Mumps,491
cdi_ca_1956_wk_prov_dbs_Part25.csv,Chickenpox,632
cdi_ca_1956_wk_prov_dbs_Part25.csv,Mumps,417
cdi_ca_1956_wk_prov_dbs_Part26.csv,Chickenpox,377
cdi_ca_1956_wk_prov_dbs_Part26.csv,Mumps,295
cdi_ca_1956_wk_prov_dbs_Part27.csv,Chickenpox,255
cdi_ca_1956_wk_prov_dbs_Part27.csv,Mumps,186
cdi_ca_1956_wk_prov_dbs_Part28.csv,Chickenpox,252
cdi_ca_1956_wk_prov_dbs_Part28.csv,Mumps,198
cdi_ca_1956_wk_prov_dbs_Part29.csv,Chickenpox,301
cdi_ca_1956_wk_prov_dbs_Part29.csv,Mumps,138
cdi_ca_1956_wk_prov_dbs_Part30.csv,Chickenpox,226
cdi_ca_1956_wk_prov_dbs_Part30.csv,Mumps,150
cdi_ca_1956_wk_prov_dbs_Part31.csv,Chickenpox,188
cdi_ca_1956_wk_prov_dbs_Part31.csv,Mumps,128
cdi_ca_1956_wk_prov_dbs_Part32.csv,Chickenpox,133
cdi_ca_1956_wk_prov_dbs_Part32.csv,Mumps,134
cdi_ca_1956_wk_prov_dbs_Part33.csv,Chickenpox,94
cdi_ca_1956_wk_prov_dbs_Part33.csv,Mumps,100
cdi_ca_1956_wk_prov_dbs_Part34.csv,Chickenpox,235
cdi_ca_1956_wk_prov_dbs_Part34.csv,Mumps,127
cdi_ca_1956_wk_prov_dbs_Part35.csv,Chickenpox,98
cdi_ca_1956_wk_prov_dbs_Part35.csv,Mumps,96
cdi_ca_1956_wk_prov_dbs_Part36.csv,Chickenpox,90
