Row,Chickenpox,Mumps,disease
1,927.0,809.0,
2,1369.0,923.0,
3,1145.0,709.0,
4,1345.0,1007.0,
5,1285.0,1084.0,
6,1279.0,876.0,
7,1303.0,886.0,
8,1199.0,1102.0,
9,1224.0,904.0,
10,1111.0,820.0,
11,1135.0,1139.0,
12,1028.0,926.0,
13,690.0,715.0,
14,813.0,709.0,
15,848.0,852.0,
16,883.0,1050.0,
17,871.0,783.0,
18,766.0,791.0,
19,715.0,676.0,
20,820.0,542.0,
21,841.0,574.0,
22,750.0,629.0,
23,804.0,662.0,
24,611.0,491.0,
25,632.0,417.0,
26,377.0,295.0,
27,255.0,186.0,
28,252.0,198.0,
29,301.0,138.0,
30,226.0,150.0,
31,188.0,128.0,
32,133.0,134.0,
33,94.0,100.0,
34,235.0,127.0,
35,98.0,96.0,
36,90.0,136.0,
37,119.0,153.0,
38,119.0,139.0,
39,122.0,165.0,
40,161.0,169.0,
41,350.0,184.0,
42,461.0,212.0,
43,592.0,292.0,
44,645.0,352.0,
45,634.0,383.0,
46,842.0,426.0,
47,876.0,494.0,
48,994.0,540.0,
49,863.0,585.0,
50,923.0,551.0,
51,519.0,478.0,
52,609.0,310.0,
53,956.0,621.0,
54,1087.0,906.0,
55,1017.0,796.0,
56,1025.0,894.0,
57,871.0,903.0,
58,1110.0,926.0,
59,1104.0,789.0,
60,1121.0,831.0,
61,1319.0,768.0,
62,1243.0,879.0,
63,1110.0,922.0,
64,1257.0,934.0,
65,1257.0,917.0,
66,950.0,891.0,
67,895.0,588.0,
68,1004.0,620.0,
69,758.0,476.0,
70,1340.0,724.0,
71,990.0,597.0,
72,775.0,549.0,
73,772.0,568.0,
74,762.0,503.0,
75,881.0,453.0,
76,731.0,503.0,
77,665.0,329.0,
78,439.0,255.0,
79,303.0,206.0,
80,255.0,165.0,
81,202.0,147.0,
82,257.0,161.0,
83,123.0,108.0,
84,76.0,137.0,
85,67.0,72.0,
86,68.0,73.0,
87,109.0,51.0,
88,82.0,104.0,
89,114.0,156.0,
90,109.0,91.0,
91,115.0,123.0,
92,129.0,96.0,
93,159.0,65.0,
94,169.0,98.0,
95,287.0,129.0,
96,282.0,145.0,
97,275.0,97.0,
98,258.0,193.0,
99,385.0,237.0,
100,402.0,239.0,
101,646.0,330.0,
102,474.0,182.0,
103,308.0,184.0,
104,398.0,173.0,
105,649.0,303.0,
106,1166.0,516.0,
107,784.0,496.0,
108,810.0,335.0,
109,741.0,362.0,
110,638.0,419.0,
111,898.0,286.0,
112,822.0,344.0,
113,989.0,323.0,
114,832.0,334.0,
115,768.0,342.0,
116,845.0,496.0,
117,903.0,444.0,
118,623.0,272.0,
119,608.0,242.0,
120,873.0,395.0,
121,768.0,364.0,
122,780.0,326.0,
123,642.0,374.0,
124,538.0,267.0,
125,539.0,317.0,
126,661.0,312.0,
127,609.0,356.0,
128,525.0,275.0,
129,631.0,246.0,
130,486.0,179.0,
131,365.0,151.0,
132,321.0,188.0,
133,266.0,111.0,
134,192.0,66.0,
135,134.0,64.0,
136,263.0,93.0,
137,67.0,83.0,
138,553.0,52.0,
139,107.0,27.0,
140,81.0,51.0,
141,98.0,76.0,
142,72.0,105.0,
143,137.0,97.0,
144,153.0,145.0,
145,113.0,98.0,
146,168.0,156.0,
147,341.0,178.0,
148,351.0,166.0,
149,312.0,179.0,
150,358.0,204.0,
151,394.0,219.0,
152,487.0,265.0,
153,534.0,202.0,
154,522.0,243.0,
155,232.0,267.0,
156,265.0,115.0,
157,,,
