Row,Chickenpox,Mumps,disease
1,927,809,
2,1369,923,
3,1145,709,
4,1345,709,
5,1285,1084,
6,1279,876,
7,1303,886,
8,1199,1102,
9,1224,904,
10,1111,820,
11,1135,1139,
12,1028,926,
13,690,715,
14,813,709,
15,848,852,
16,883,1050,
17,871,783,
18,766,791,
19,715,676,
20,820,542,
21,841,574,
22,750,629,
23,804,662,
24,611,491,
25,632,417,
26,377,295,
27,1,5,
28,1,2,
29,301,138,
30,226,150,
31,188,128,
32,133,134,
33,94,100,
34,235,127,
35,98,96,
36,90,136,
37,119,153,
38,119,139,
39,122,165,
40,161,169,
41,350,184,
42,461,212,
43,592,292,
44,645,352,
45,634,383,
46,842,426,
47,876,494,
48,994,540,
49,863,585,
50,923,551,
51,519,478,
52,609,310,
53,956,621,
54,1087,906,
55,1017,796,
56,1025,894,
57,871,903,
58,1110,926,
59,1104,789,
60,1121,831,
61,1319,768,
62,1243,879,
63,1110,922,
64,1257,934,
65,1275,917,
66,950,891,
67,895,588,
68,1004,620,
69,758,476,
70,1340,724,
71,990,597,
72,775,549,
73,772,568,
74,762,503,
75,881,453,
76,731,503,
77,665,329,
78,439,255,
79,303,206,
80,255,165,
81,202,147,
82,257,161,
83,123,108,
84,76,137,
85,67,72,
86,68,73,
87,109,51,
88,82,104,
89,114,156,
90,109,91,
91,115,123,
92,129,,
93,159,65,
94,169,98,
95,287,129,
96,282,145,
97,275,97,
98,258,193,
99,385,237,
100,402,239,
101,646,330,
102,474,182,
103,308,184,
104,398.0,173.0,
105,649,303,
106,1166,516,
107,784,496,
108,810,335,
109,741,362,
110,638,419,
111,898,286,
112,822,344,
113,989,323,
114,832,334,
115,768,342,
116,845,496,
117,903,444,
118,623,272,
119,608,242,
120,873,395,
121,768,364,
122,780,374,
123,642,374,
124,538,267,
125,539,317,
126,661,312,
127,609,356,
128,525,275,
129,631,246,
130,486,179,
131,365,151,
132,321,188,
133,266,111,
134,192,66,
135,134.0,64.0,
136,263,93,
137,67,83,
138,553,52,
139,107,27,
140,81,51,
141,98,76,
142,72,105,
143,137,36,
144,153,145,
145,113,98,
146,168,156,
147,341,178,
148,351,166,
149,312,179,
150,358,219,
151,394,219,
152,487,265,
153,534,202,
154,522,243,
155,232,267,
156,265,115,
157,,,cases
