1,Chickenpox,255,377,455,25121,23296,29949,2,1,3,1,8,3,13,23,31,..,..,..,22,33,55,139,205,192,10,20,20,..,1,22,..,..,26,68,86,52,1
2,Diphtheria,1,2,1,51,54,81,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
3,Dysentery: 4,6,8,11,314,295,295,-,-,-,-,-,-,-,-,-,..,..,..,..,..,1,2,-,-,-,-,-,-,-,-,1,-,-,3,8,3,3
4,(a) Amoebic,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,6,8,11,314,293,293,-,-,-,-,-,-,-,-,-,..,..,..,..,..,1,2,-,-,-,-,-,-,-,-,1,-,-,3,8,2,5
6,"Encephalitis, infectious",-,1,1,10,13,17,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,1,-,-,-,-,-,-,-,6
7,"Influenza, epidemic",139,134,45,8042,36096,8855,..,..,..,90,97,..,43,35,25,-,-,-,-,-,-,1,1,-,-,1,6,-,-,-,..,..,..,5,-,4,7
8,Measles,489,698,793,38511,41140,44369,3,2,3,23,19,8,19,18,10,..,..,2,97,141,160,281,452,242,22,14,30,..,..,10,18,25,62,26,27,115,8
9,"Meningitis, meningococcal",1,5,7,172,172,164,-,-,-,..,..,..,-,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,..,..,..,1,2,-,9
10,Mumps,186,295,263,20572,18909,27076,-,-,4,13,10,1,1,-,9,..,..,..,33,23,29,88,193,115,6,9,14,..,..,8,..,..,8,45,60,30,10
11,"Poliomyelitis, epidemic: 4",5,3,44,78,163,163,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,2,11,-,-,2,1,1,3,-,-,3,2,-,4,11
12,(a) With paralysis,3,3,15,49,99,99,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,-,-,2,(6),1,1,-,-,-,1,-,-,12
13,(b) Without paralysis,1,-,23,22,53,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,9,-,-,-,(6),-,-,-,-,-,1,-,4,13
14,Rubella,316,566,135,47840,16975,8697,1,-,-,..,..,..,9,12,4,..,..,..,55,70,4,118,208,20,3,2,-,..,..,5,14,19,23,116,255,21,14
15,"Scarlet fever, etc. 5 **",131,172,127,8175,5844,8963,-,1,3,8,21,4,39,66,7,-,-,2,9,6,26,57,58,23,1,1,8,2,1,11,11,4,14,4,14,22,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,"Tuberculosis: 4,6",174,171,215,4769,4935,5507,5,8,10,2,1,2,2,1,3,13,14,16,81,41,75,23,13,25,4,17,16,9,10,19,18,24,19,17,42,19,17
18,(a) Pulmonary,145,145,182,3889,3994,4414,5,8,8,1,-,1,2,1,2,13,13,16,80,40,73,(6),(6),(6),4,16,16,7,8,17,17,23,16,16,36,19,18
19,(b) Non-pulmonary,6,13,9,282,319,264,-,-,-,1,1,-,-,-,-,-,1,-,1,1,2,(6),(6),(6),-,1,-,2,2,1,1,1,2,1,6,1,19
20,Typhoid and paratyphoid,8,6,4,211,127,227,2,1,-,-,-,-,-,-,-,1,1,-,-,1,3,2,1,-,-,-,-,-,1,-,-,-,-,3,1,-,20
21,Undulant fever,2,-,4,78,61,63,-,-,-,-,-,-,-,-,-,..,..,..,2,..,2,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,21
22,Venereal diseases:,269,273,368,8230,8683,9065,4,2,11,-,-,1,17,2,11,6,6,4,54,46,60,30,29,52,21,17,33,26,30,39,42,54,53,69,87,57,22
23,"(a) Syphilis, primary",-,1,3,50,58,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,23
24,(b) '' secondary,-,1,4,23,20,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,24
25,(c) '' other,27,30,64,979,1280,1424,4,-,2,-,-,-,1,-,6,-,-,1,10,14,17,7,5,14,1,2,2,1,2,5,-,1,2,3,6,6,25
26,(d) Gonorrhoea,242,241,285,7177,7312,7312,-,2,10,-,-,1,16,2,7,6,6,2,44,32,44,23,24,39,20,15,31,25,27,34,42,52,50,66,81,54,26
27,(e) Other venereal diseases 8,-,-,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,106,93,103,4586,7146,4464,2,-,-,8,13,1,3,2,2,-,-,-,45,23,45,8,9,29,2,16,3,10,5,2,2,1,9,26,24,12,28
