DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended August 24, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,68,74,138,26988,26591,28585,..,..,..,2,..,..,2,4,5,..,..,..,8,6,26,26,40,41,4,1,5,..,..,..,..,..,..,26,16,21,1,,,,,,,,,,,
2,Diphtheria,5,3,1,88,61,68,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,1,-,2,,,,,,,,,,,
3,Dysentery: 4,6,13,14,415,409,413,-,-,-,-,-,-,-,-,-,-,-,-,..,7,..,-,5,2,1,-,-,-,-,-,2,-,-,3,1,6,3,,,,,,,,,,,
4,(a) Amoebic,2,-,-,6,-,3,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4,,,,,,,,,,,
5,(b) Bacillary,4,13,13,409,409,411,-,-,-,-,-,-,-,-,-,-,-,-,..,7,..,-,5,2,1,-,-,-,-,-,2,-,-,1,1,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,4,1,22,20,21,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,1,-,-,-,-,-,-,1,-,3,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",247,500,26,3990,8674,8674,..,..,..,63,47,-,179,449,23,..,..,..,-,-,-,1,4,3,-,-,2,-,-,-,..,..,..,4,-,1,7,,,,,,,,,,,
8,Measles,178,261,190,45229,41113,43477,-,-,-,2,..,..,36,35,3,..,..,..,9,10,52,40,54,59,22,10,9,..,..,..,59,133,12,10,19,29,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",10,5,3,225,195,195,6,3,-,-,-,-,-,-,1,1,1,-,2,-,-,-,1,1,-,-,-,-,-,-,..,..,..,1,-,-,9,,,,,,,,,,,
10,Mumps,73,80,125,19508,21556,21556,..,..,..,..,..,..,10,16,4,..,..,..,6,2,..,43,49,60,8,-,9,..,..,..,..,..,..,6,15,22,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",18,14,151,144,223,1074,-,-,1,-,-,1,-,-,6,1,-,8,9,2,17,-,5,15,-,-,8,1,-,16,4,6,24,3,1,14,11,,,,,,,,,,,
12,(a) With paralysis,12,9,53,87,131,443,-,-,1,-,-,1,-,-,2,-,-,-,6,2,5,-,4,11,-,-,3,1,-,2,4,2,1,1,1,12,12,,,,,,,,,,,
13,(b) Without paralysis,6,5,49,50,86,334,-,-,1,-,-,-,-,-,-,1,-,7,3,-,1,-,1,10,-,-,5,-,-,4,-,4,1,2,-,5,13,,,,,,,,,,,
14,Rubella,63,75,68,15430,48824,9005,-,-,-,..,..,..,18,25,-,..,..,..,4,4,3,12,15,14,2,1,-,..,..,..,19,22,6,8,8,9,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",93,95,78,6103,8795,9382,4,2,-,6,13,3,68,41,18,-,-,1,2,1,10,5,15,11,2,1,-,-,1,3,4,4,6,2,17,9,15,,,,,,,,,,,
