DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 21, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,109,114,119,27420,27031,29057,..,..,..,..,..,..,1,-,2,..,..,..,26,29,48,62,63,38,3,6,5,..,..,..,..,..,..,17,16,18,1,,,,,,,,,,,
2,Diphtheria,1,2,1,100,72,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,10,68,10,511,445,464,-,-,-,1,-,-,-,-,-,4,3,-,4,59,..,-,-,2,1,6,-,-,-,-,-,-,-,-,-,2,3,,,,,,,,,,,
4,(a) Amoebic,1,-,-,7,1,4,-,-,-,-,-,-,-,-,-,1,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,9,68,10,504,444,462,-,-,-,1,-,-,-,-,-,3,3,-,4,59,..,-,-,2,1,6,-,-,-,-,-,-,-,-,-,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,1,2,25,29,29,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",1898,476,77,7423,9122,9122,..,..,..,144,89,-,141,219,39,..,..,..,10,115,-,276,36,1,4,3,3,-,-,-,..,..,..,1323,15,1,7,,,,,,,,,,,
8,Measles,198,117,152,46064,42044,44175,-,-,5,..,..,..,53,3,16,..,..,..,6,6,34,56,17,23,15,16,8,..,..,..,48,38,18,20,37,21,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",8,4,4,249,216,216,8,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,1,1,-,1,-,-,-,-,..,..,..,-,1,-,9,,,,,,,,,,,
10,Mumps,91,156,140,19910,22090,22090,..,..,..,..,..,..,11,41,2,..,..,..,18,17,..,56,79,64,2,6,11,..,..,..,..,..,..,4,13,31,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",18,15,164,216,384,1643,-,-,-,-,-,-,-,-,5,1,1,2,3,3,13,6,3,21,-,-,1,4,1,13,2,4,25,2,1,12,11,,,,,,,,,,,
12,(a) With paralysis,12,8,82,128,213,766,-,-,-,-,-,-,-,-,1,1,-,1,3,1,8,5,2,8,-,-,1,3,(6),4,-,3,-,-,-,6,12,,,,,,,,,,,
13,(b) Without paralysis,6,6,45,79,159,491,-,-,-,-,-,-,-,-,-,-,1,1,-,2,5,1,1,13,-,-,-,1,(6),4,2,1,1,2,1,6,13,,,,,,,,,,,
14,Rubella,45,71,43,15665,49233,9160,-,-,-,..,..,..,3,5,-,..,..,..,6,7,6,16,19,14,-,-,-,..,..,..,20,25,7,3,15,15,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",78,65,96,6373,9176,9620,6,10,1,4,-,8,21,12,16,-,-,3,1,5,19,18,19,16,5,4,3,-,-,3,23,9,10,6,6,13,15,,,,,,,,,,,
