DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 19, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,169,159,398,27999,28154,30399,..,..,..,..,..,..,10,2,18,..,..,..,54,67,91,51,61,146,7,3,19,..,..,..,..,..,..,47,26,51,1,,,,,,,,,,,
2,Diphtheria,2,1,3,108,90,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2,,,,,,,,,,,
3,Dysentery: 4,2,12,7,546,503,552,-,-,-,-,-,-,-,-,-,-,-,-,..,2,..,-,-,1,1,4,-,-,-,-,-,-,-,1,6,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,2,12,6,539,501,550,-,-,-,-,-,-,-,-,-,-,-,-,..,2,..,-,-,1,1,4,-,-,-,-,-,-,-,1,6,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,27,40,34,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",34549,29961,62,86996,9745,9476,*,..,..,351,122,-,5036,2119,42,*,..,..,-,-,-,6832,5099,3,750,398,5,30,-,-,..,..,..,21550,(8),-,7,,,,,,,,,,,
8,Measles,130,183,360,46610,43769,46166,**,-,2,..,..,..,7,32,9,..,..,..,11,48,107,21,14,86,13,12,16,..,..,..,20,53,22,58,24,61,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",6,7,5,284,240,240,-,5,-,-,-,-,-,-,-,2,2,-,-,-,1,3,-,2,1,-,-,-,-,-,..,..,..,-,-,1,9,,,,,,,,,,,
10,Mumps,98,67,249,20321,22855,22855,..,..,..,..,..,..,4,4,20,..,..,..,12,10,..,49,30,122,2,12,17,..,..,..,..,..,..,31,11,44,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",2,6,71,251,471,2030,-,-,-,-,-,-,-,-,1,-,-,3,1,-,6,1,3,6,-,1,2,-,-,9,-,2,18,-,-,7,11,,,,,,,,,,,
12,(a) With paralysis,2,6,33,153,273,974,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,1,3,4,-,1,2,-,-,-,-,2,1,-,-,4,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,18,87,184,592,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,4,-,-,-,-,-,1,-,-,1,-,-,3,13,,,,,,,,,,,
14,Rubella,45,36,43,15857,49598,9317,-,-,-,..,..,..,2,-,-,..,..,..,1,1,1,10,16,17,-,-,-,..,..,..,11,15,6,21,4,12,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",33,301,168,7068,9731,10011,3,14,3,-,2,9,4,254,20,-,1,3,4,7,31,15,11,37,-,-,6,-,-,2,-,5,10,7,7,19,15,,,,,,,,,,,
