DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 9, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,275,282,659,28847,30086,31982,*,..,..,..,..,..,-,37,28,..,..,..,45,41,165,150,103,295,8,21,36,..,..,..,..,..,..,72,84,95,1,,,,,,,,,,,
2,Diphtheria,1,2,4,123,107,107,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,3,7,17,559,529,600,-,-,-,-,-,-,-,-,-,-,-,-,1,..,..,2,1,2,-,4,-,-,-,-,-,-,-,-,2,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,7,2,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,3,7,17,552,526,598,-,-,-,-,-,-,-,-,-,-,-,-,1,..,..,2,1,2,-,4,-,-,-,-,-,-,-,-,2,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,-,29,45,37,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",12470,21920,56,149979,10037,9605,**,..,..,529,418,-,352,2650,35,**,..,..,-,-,-,769,1298,4,8712,4698,-,162,95,-,..,..,..,1946,(8),2,7,,,,,,,,,,,
8,Measles,170,132,593,47012,45804,48540,***,-,2,..,..,..,-,30,23,..,..,..,17,1,108,82,32,170,7,26,40,..,..,..,51,27,51,13,16,68,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",3,2,4,298,256,256,2,-,1,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,..,..,..,-,1,-,9,,,,,,,,,,,
10,Mumps,97,145,493,20692,23921,23921,***,..,..,4,..,..,5,29,17,..,..,..,19,17,..,53,50,172,7,2,23,..,..,..,..,..,..,9,47,52,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",4,2,63,273,520,2215,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,6,-,-,3,1,-,11,-,2,13,-,-,5,11,,,,,,,,,,,
12,(a) With paralysis,2,2,32,172,306,1067,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,3,-,-,1,1,-,1,-,2,1,-,-,5,12,,,,,,,,,,,
13,(b) Without paralysis,2,-,21,89,201,643,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,3,-,-,2,-,-,1,-,-,-,-,-,1,13,,,,,,,,,,,
14,Rubella,26,26,46,15952,50129,9477,-,-,-,..,..,..,-,1,2,..,..,..,1,-,9,9,7,11,-,-,-,..,..,..,9,9,10,7,9,18,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",74,144,241,7454,10227,10419,4,1,3,2,9,6,21,97,37,-,-,1,4,8,28,21,17,68,6,1,8,5,-,7,8,7,28,3,4,21,15,,,,,,,,,,,
