DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 21, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week (8),Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,308,474,906,31324,35611,37035,*,..,..,..,..,..,14,1,40,..,..,..,134,92,255,-,246,297,19,11,52,..,..,..,..,..,..,141,124,123,1,,,,,,,,,,,
2,Diphtheria,-,-,4,141,135,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,17,8,7,621,610,669,-,-,-,-,2,-,-,-,-,-,-,-,2,1,..,-,-,1,-,3,-,-,-,2,-,-,-,15,2,-,3,,,,,,,,,,,
4,(a) Amoebic,-,1,-,8,2,5,-,-,-,-,1,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,17,7,7,613,607,666,-,-,-,-,1,-,-,-,-,-,-,-,2,1,..,-,-,1,-,3,-,-,-,2,-,-,-,15,2,-,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,2,-,33,46,41,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",361,707,91,169953,10964,10093,**,..,..,222,132,22,58,84,70,..,..,..,-,-,-,-,3,2,30,488,1,-,-,-,..,..,..,51,-,-,7,,,,,,,,,,,
8,Measles,211,285,987,48711,52685,55309,***,-,3,..,..,..,10,2,65,..,..,..,69,10,228,-,68,256,16,37,58,..,..,..,82,127,80,34,41,84,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",5,7,3,336,278,278,4,3,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,1,-,-,1,-,1,-,..,..,..,1,1,-,9,,,,,,,,,,,
10,Mumps,184,182,619,22094,27555,27555,*,..,..,..,1,..,23,5,22,..,..,..,113,54,..,-,78,222,4,1,23,..,..,..,..,..,..,44,43,106,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",1,2,28,283,598,2375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,1,1,1,-,2,11,,,,,,,,,,,
12,(a) With paralysis,1,2,10,180,367,1155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,1,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,-,-,4,91,219,695,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,,,,,,,,,,,
14,Rubella,80,86,115,16346,51719,10064,-,-,-,..,..,..,4,-,-,..,..,..,5,1,16,-,16,19,-,-,-,..,..,..,56,62,31,15,7,15,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",201,157,180,8401,11491,11491,4,18,3,15,8,6,143,55,12,-,-,1,24,16,70,-,30,50,2,-,6,-,7,7,9,16,23,4,7,21,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,Tuberculosis: 4,149,159,191,8511,9261,10283,12,2,10,-,-,1,-,-,1,-,9,3,73,33,79,-,14,20,7,10,15,10,-,5,28,53,21,19,36,37,17,,,,,,,,,,,
18,(a) Pulmonary,143,139,158,6986,7472,8387,12,2,10,-,-,1,-,-,1,-,8,3,69,33,78,(6),(6),(6),7,9,15,9,-,4,28,50,20,18,35,29,18,,,,,,,,,,,
19,(b) Non-pulmonary,6,6,10,484,490,543,-,-,-,-,-,-,-,-,-,-,1,-,4,-,1,(6),(6),(6),-,1,-,1,-,2,-,3,-,1,1,2,19,,,,,,,,,,,
20,Typhoid and paratyphoid,7,7,4,315,451,452,-,-,-,-,-,-,-,-,-,-,-,-,7,5,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,20,,,,,,,,,,,
21,Undulant fever,-,-,1,122,137,131,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
22,Venereal diseases:,227,291,315,16107,16432,17830,12,7,5,-,-,1,3,14,11,3,3,5,33,40,73,-,50,54,20,38,25,30,22,28,40,33,66,86,84,42,22,,,,,,,,,,,
23,"(a) Syphilis, primary",2,1,1,141,114,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,23,,,,,,,,,,,
24,(b) '' secondary,1,1,2,46,53,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,12,38,36,1991,1891,2288,1,3,-,-,-,-,1,-,2,-,1,1,4,22,15,-,3,8,1,2,2,2,1,2,1,1,2,2,5,4,25,,,,,,,,,,,
26,(d) Gonorrhoea,212,251,286,13917,14359,14507,11,4,2,-,-,1,2,14,6,3,2,4,29,18,57,-,47,43,19,36,23,27,20,25,39,32,60,82,78,41,26,,,,,,,,,,,
27,(e) Other venereal diseases 7,-,-,1,12,12,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,55,87,155,7364,8643,9277,-,-,-,-,-,3,1,7,15,-,-,2,28,21,76,-,27,33,1,-,7,2,-,7,7,8,8,16,24,12,28,,,,,,,,,,,
