Table: Table_1
,,,,,CANADA²,,,,T.-N.,,,I.P.-É.,,,N.-É.,,,N.-B.,,,QUÉ.,,,ONT.,,,MAN.,,,SASK.,,,ALB.,,,C.-B.,,
N°,MALADIE,,,,,Total cumulatif³,,rapport,,,rapport,,,rapport,,,rapport,,,rapport,,,rapport,,,rapport,,,rapport,,1952.56,Semaine rapport,,,rapport,,1952-56,N°
,,Semaine du rapport,Semaine précé- dente,Médiane 1952-56,1957,1956,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Médiane,,Semaine précédente,Médiane 1952-56,Semaine du,Semaine précédente,Mediane,
1,Varicelle,"1,121","1,106","1,222","8,366","9,914","10,643",9.8,a.e.,3,,3,7,13,70,39,....,,...,226,206,302,666,658,592,19,28,31,a.e.,,47,,,12,187,141,186,1
2,Diphtérie,2,10,1,34,26,26,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,6,,,-,,-,-,,-,W,-,-,-,,2
3,Dysenterie:,12,9,13,82,76,80,-,-,-,7,-,1,-,-,-,1,2,-,3,,1,-,5,2,,-,-,a,-,-,-,2,-,1,-,4,3
4,a) Amibienne,-,-,,1,,1,-,-,-,,,-,-,-,-,-,-,-,,,**,-,-,-,-,-,-,-,-,-,TO,-,-,-,-,,4
5,b) Bacillaire,12,9,13,81,76,76,,-,-,7,-,1,-,-,-,1,2,-,3,*.*,1,-,5,2,-,-,-,-,-,-,-,2,-,1,-,4,5
6,Encéphalite infectieuse,,-,1,1,3,4,,-,-,R.P.,P...,,-,-,-,-,-,-,.0,,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,6
7,Grippe épidémique,99,70,144,684,"1,470","1,478",,...,,30,23,39,67,47,51,...,...,1,-,-,-,-,-,4,2,-,1,-,-,-,...,R.P.,9.9.,-,-,3,7
8,Rougeole,"1,625","1,799","1,941","14,255","13,725","13,725",,-,7,3,R.P.,3,8,1,80,...,...,R.9.,266,181,414,560,624,536,123,70,57,,,46,-,306,107,665,617,144,8
9,Méuingite méningococcique,2,8,6,45,56,51,1,2,-,-,$,-,-,-,,1,2,-,-,-,1,-,-,2,-,,,-,1,-,,1,**,-,2,,9
10,Oreillons,831,791,"1,131","6,697","7,401","7,401",,A.A.,...,2,**,6,17,49,13,R.P.,..,2.0,156,94,226,312,342,619,21,25,47,...,.0.0,42,R.O.,,7,323,281,135,10
11,Poliomyélite épidémique:⁴,1,1,6,17,27,30,-,-,-,-,-,-,-,,-,-,-,-,1,-,1,-,-,1,-,,,0,,-,2,1,-,-,-,1,11
12,a) Avec paralysie,(6),1,2,11,18,24,-,-,-,-,-,-,-,-,-,-,-,-,(6),-,1,-,-,-,-,,-,-,-,-,1,1,,-,,,12
13,b) Sans paralysie,(6),-,2,4,9,6,,-,-,-,-,-,,,,-,-,-,(6),-,,-,,-,-,,-,CO,29,0,-,,-,,,1,13
14,Rubéole,247,432,340,"3,239","9,596","2,059",-,-,-,,,...,-,7,2,...,,,38,49,35,41,52,136,2,3,2,,...,6,-,192,32,166,129,12,14
15,Scarlatine, etc.⁵,311,189,432,"1,948","2,519","2,986",3,3,2,9,8,9,112,38,19,-,-,7,99,19,62,65,67,111,8,15,9,2,2,50,-,24,51,13,13,69,15
16,Variole,,,,,,,-,-,-,:.,:,,-,,-,-,-,,-,-,-,-,,-,-,&,,,-,,-,,-,,,,1€
17,Tuberculose:4,157,164,160,"1,183","1,339","1,475",14,4,4,-,-,-,1,1,2,5,30,11,59,64,72,28,10,18,14,7,10,1,1,7,-,26,11,35,21,26,17
18,a) Pulmonaire,122,140,134,937,"1,093","1,198",14,1,3,-,-,-,1,1,2,4,27,10,59,60,70,(6),(6),(6),9,6,9,as,1.00,us,-,23,11,35,18,19,18
19,b) Non pulmonaire,7,14,9,88,56,80,-,-,-,-,-,-,$,-,-,1,3,-,-,4,2,(6),(6),(-),5.50,1,-,1,-,1,#,3,,-,3,,,19
