Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT,,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,Report,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,"1,319","1,137","1,234","9,703","11,148","11,720",:.,:.,5,:.,: .,6,26,59,53,:.,:.,1,368,226,224,706,646,613,22,19,34,:.,.,52,..,:,14,197,187,187,
2,Diphtheria,4,2,2,38,29,29,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,-,-,-,-,-,-,-,-,-,,,,,,
3,Dysentery:4,5,12,14,87,88,88,-,-,-,-,7,-,-,-,-,1,1,-,1,3,..,1,-,1,-,-,-,-,-,-,-,- -,- -,- 2,- 1,- 6,
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,
5,(h) Bacillary,5,12,14,86,88,88,-,-,-,-,7,-,-,-,-,1,1,-,1,3,... ...,1,-,1,-,-,-,-,-,-,-,-,-,2,1,6,
6,Encephalitis, infectious,-,-,-,1,3,4,-,-,-,.A,R.P.,...,-,-,-,-,-,-,..,,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
7,Influenza, epidemic,61,106,327,752,"2,563","1,895",P.O,..,,29,30,22,27,74,87,a..,..,a.e,-,-,-,-,-,5,4,2,2,-,-,2,...,..,,1,-,42,
8,Measles,"1,730","2,007","1,903","16,466","15,609","15,609",-,-,5,...,3,13,46,93,65,,,A.A.,286,266,297,401,560,592,180,123,61,...,.,10,331,297,P... 147,486,665,178,
9,Meningitis, meningococcal,10,2,8,55,62,57,6,1,-,-,-,-,-,-,-,2,1,1,-,-,-,1,-,2,-,-,1,-,-,-,,,,1,-,2,
10,Mumps,768,850,997,"7,492","8,305","8,305",,,,1,2,7,13,36,37,...,,,163,156,220,268,312,464,43,21,41,A.S,a.e,63,R.O.,..,2,280,323,213,10
11,Poliomyelitis, epidemic:4,2,1,4,20,27,32,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,11
12,(a) With paralysis,1,-,3,13,18,25,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,
13,(b) Without paralysis,1,-,1,5,9,9,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
14,Rubella,855,672,291,"4,519","11,668","2,350",-,-,-,...,A.O,...,16,16,8,a.e,...,...,102,38,18,72,41,171,11,2,1,..,,1,458,409,29,196,166,25,14
15,Scarlet fever, etc.⁵,226,331,454,"2,210","2,921","3,479",2,3,2,13,9,7,72,113,27,-,-,6,38,99,92,58,65,88,2,8,10,1,2,21,15,19,55,25,13,53,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,1€
17,Tuberculosis: 4,208,164,202,"1,398","1,541","1,654",1,14,15,1,-,1,-,1,2,12,5,11,109,59,88,16,28,26,9,14,12,12,1,5,25,7,13,23,35,20,17
18,(a) Pulmonary,186,129,167,"1,130","1,259","1,346",1,14,13,1,-,1,-,1,2,12,4,11,107,59,85,(6),(6),(6),9,9,12,11,-,3,25,7,13,20,35,17,18
19,(b) Non-pulmonary,6,7,10,94,66,86,-,-,-,-,-,-,-,-,-,-,1,-,2,-,3,(6),(6),(6),-,5,-,1,1,1,-,-,-,3,-,3,
20,Typhoid and paratyphoid,5,6,8,51,71,71,-,-,-,I,1,-,-,-,-,-,1,-,1,2,4,-,1,1,-,-,-,-,-,-,1,-,-,3,1,-,20
21,Undulant fever,1,1,2,14,29,20,-,-,-,-,-,-,-,-,-,-,-,-,,,2,1,1,-,-,-,-,-,-,-,R.P.,,...,-,-,-,
22,Venereal diseases:,302,331,365,"2,951","2,959","3,198",15,7,8,-,-,1,4,13,12,1,1,1,70,99,105,31,49,70,17,17,35,11,21,18,65,43,55,88,81,51,22
23,(a) Syphilis, primary,5,2,4,30,25,29,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,1,-,1,1,2,-,23
24,(b) " secondary,2,2,2,6.,11,14,,=,,-,-,-,-,,,-,-,-,,,1,,,,-,-,-,-,1,-,1,-,-,1,1,-,24
25,(c) other,43,59,56,355,322,471,2,-,2,-,-,-,-,HI,4,-,-,-,28,47,24,6,6,13,-,1,2,2,1,4,1,2,-,4,5,7,25
