Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,950,"1,275",952,"15,550","15,928","17,795",..,,2,,2,5,28,67,20,,,,227,281,211,566,677,450,15,28,25,,,15,,,1,114,220,183,1
2,Diphtheria,2,2,1,55,43,43,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,2
3,Dysentery:4,4,22,13,169,125,138,-,-,-,-,4,-,-,-,-,-,-,-,2,10,..,-,-,1,1,-,-,-,1,-,-,-,-,1,7,12,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,4,22,12,168,125,137,-,-,-,-,4,-,-,-,-,-,-,-,2,10,..,-,-,1,1,-,-,-,1,-,-,-,-,1,7,12,5
6,Encephalitis, infectious,1,-,1,3,6,6,-,-,-,.0,: .,:,-,-,-,-,-,,,..,:,00,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,56,146,171,"1,273","5,661","4,704",:.,:,: 0,56,76,77,-,53,83,:,00,1,-,-,-,-,3,12,-,6,3,-,-,-,00,2,...,-,6,7,7
8,Measles,"1,878","2,183","1,408","26,871","22,553","23,347",-,-,5,..,00,8,12,43,40,..,:,3,245,296,425,393,398,529,93,96,35,:,:,13,643,559,77,492,791,144,8
9,Meningitis, meningococcal,11,3,7,87,90,90,2,2,-,-,-,-,-,-,-,3,-,-,-,1,1,4,-,1,1,-,-,-,-,-,:,,,1,-,2,9
10,Mumps,891,917,920,"12,036","12,615","12,615",:.,: .,:,4,..,4,28,51,27,..,...,-1,235,190,196,360,328,413,46,18,36,...,:,26,...,... ...,R.P. 7,218,330,131,10
11,Poliomyelitis, epidemic:4,4,-,4,26,45,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,1,11
12,(a) With paralysis,3,-,I,16,30,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,1,12
13,(b) Without paralysis,1,-,1,6,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,13
14,Rubella,983,"1,058",408,"9,129","22,997","4,257",-,-,-,..,...,.0,-,12,8,**,...,...,65,53,36,77,78,200,2,3,-,R.O.,...,1,627,611,15,212,301,26,14
15,Scarlet fever, etc.⁵,236,243,488,"3,492","4,961","5,714",-,-,1,32,15,6,8,51,34,3,2,2,58,36,70,76,102,83,4,2,5,4,1,27,31,23,49,20,11,49,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:,..,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$,-,-,-,-,1€
17,Tuberculosis:,207,182,141,"2,289","2,339","2,584",3,2,3,-,-,1,2,1,4,14,14,14,94,65,40,20,39,21,10,7,11,18,2,6,16,33,16,30,19,29,17
18,(a) Pulmonary,177,139,114,"1,843","1,883","2,082",3,2,2,-,-,-,2,1,4,13,13,14,92,64,40,(6),(6),(6),9,7,9,15,2,5,15,31,13,28,19,21,18
19,(b) Non-pulmonary,10,4,13,143,119,130,-,-,1,-,-,-,-,-,-,1,1,-,2,1,2,(6),(6),(6),1,-,-,3,-,1,1,2,1,2,-,2,19
20,Typhoid and paratyphoid,7,6,5,80,93,99,-,-,-,-,#,-,-,-,-,-,-,-,7,2,2,-,1,1,-,-,-,-,-,-,-,3,1,-,-,1,20
21,Undulant fever,2,3,3,29,41,30,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,-,1,-,-,-,-,-,-,-,9.8,R.P.,R.P.,-,-,-,21
22,Venereal diseases:,374,295,329,"4,608","4,388","4,721",13,6,9,1,-,-,17,8,8,8,1,6,69,119,90,47,45,59,27,18,27,27,27,26,64,-,49,101,71,55,22
23,(a) Syphilis, primary,2,-,3,41,36,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,va.,-,-,-,2,-,-,23
24,(b) " secondary,-,1,-,10,12,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,#,-,1,-,-,,,-,-,-,-,-,-,-,-,-,-,24
25,(c) other,38,69,46,584,501,699,-,1,3,-,-,-,1,OF,1,-,-,1,21,54,18,8,7,14,1,-,1,3,4,1,-,-,1,4,3,5,25
26,(d) Gonorrhoea,334,225,268,"3,971","3,839","3,839",13,5,6,1,-,-,16,8,8,8,1,4,48,65,62,39,37,44,26,18,27,24,23,24,64,-,45,95,68,49,26
27,(e) Other venereal diseases⁷,-,-,-,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,96,130,171,"2,278","2,453","2,457",-,-,1,2,8,1,-,-,13,1,-,-,45,68,45,16,26,19,2,3,7,1,-,2,17,19,7.,12,6,33,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
