Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,,Report Week,Week,Median 1952-56,1957,1956,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week- (8),revious Week (8),Median 1952-56,Report Week,Previous Week,Median 1952-56,
1,Chickenpox,762,774,750,"22,891","22,428","23,963",:.,..,:.,6,5,,41,45,21,,..,: .,120,161,168,437,457,416,24,9,38,:,.,....,...,..,:,134,97,174,1
2,Diphtheria,1,2,-,66,48,51,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,8,7,10,297,241,241,-,-,-,-,-,-,-,-,-,1,3,-,...,2,,4,-,1,1,-,-,-,-,-,-,-,1,2,2,4,3
4,(a) Amoebic,-,-,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,....,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(h) Bacillary,8,7,10,296,241,241,-,-,-,-,-,-,-,-,-,1,3,-,:.,2,....,4,-,1,1,-,-,-,-,-,-,-,-,2,2,4,5
6,Encephalitis, infectious,-,-,1,7,7,10,-,-,-,,,...,-,-,-,-,-,-,...,8.9,...,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,179,155,177,"2,354","7,249","7,249",P...,...,...,117,50,73,55,103,68,P...,...,...,-,-,-,-,-,4,7,2,2,-,-,-,...,R.R.,,-,-,4,7
8,Measles,900,873,"1,485","37,417","33,415","35,204",-,-,2,,,,64,135,18,A.P.,...,R.P.,161,144,393,347,343,560,103,70,24,..A,a.e,..,-,-,.... 52,225,181,161,8
9,Meningitis, meningococcal,8,9,7,146,149,140,2,4,-,-,-,-,-,-,-,1,-,-,-,1,-,3,2,1,2,1,-,-,-,1,,,,-,1,1,9
10,Mumps,503,570,647,"16,832","18,520","18,520",P...,1.8,,,,,44,135,27,A.P.,R,,83,92,P.R,274,262,301,11,2,20,A.P.,P...,..A,P.A. P...,,.... ...,91,79,127,10
11,Poliomyelitis, epidemic:4,-,3,8,43,61,105,-,-,-,-,1,-,are,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,4,11
12,(a) With paralysis,-,1,6,24,40,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,$,-,-,3,12
13,(b) Without paralysis,-,2,2,13,21,32,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,=,=,-,1,13
14,Rubella,250,229,372,"13,010","42,437","7,200",-,-,-,,,,43,41,11,,,,18,14,29,78,84,150,3,4,1,,,a.a,-,-,25,108,86,60,14
15,Scarlet fever, etc.⁵,147,136,249,"4,885","7,301","7,984",1,4,3,14,5,5,50,55,12,1,3,8,18,20,70,53,45,72,2,-,9,-,2,9,-,-,12,8,2,19,15
16,Smallpox,-,-,-,-,-,-,-,-,-,,,,I,-,-,-,I,-,-,-,=,-,1,i,-,-,-,I,1,:,1,I,-,,.,,16
17,Tuberculosis:4,155,135,203,"3,600","3,849","4,346",5,8,8,-,-,1,-,-,2,2,3,17,63,77,61,20,17,27,11,7,18,7,8,6,-,-,21,: 47,15,19,17
18,(a) Pulmonary,129,109,169,"2,908","3,069","3,494",5.,8,7,-,-,1,-,-,2,2,3,16,61,70,58,(6),(6),(6),10,7,16,6,6,6,-,=,20,45,15,18,18
19,(b) Non-pulmonary,6,9,8,222,206,220,-,-,-,-,,,-,-,I,8,:,-,-,2,7,3,(6),(6),(€),1,-,-,1,2,1,T.,-,1,2,#:,1,19
20,Typhoid and paratyphoid,10,4,7,130,166,191,-,-,-,1,-,3,-,1,:,,,-,-,9,2,5,1,2,1,=,-,-,#,-,a,*,#,70.,1,:,1,20
21,Undulant fever,4,8,2,56,62,46,-,I,-,a,-,-,3,-,-,1,#:,-,4,8,,-,1,II,-,-,I,1,-,1,,,,,,,21
22,Venereal diseases:,271,290,322,"6,935","6,679","7,188",8,9,9,-,1,-,9,5,12,9,9,5,75,61,96,41,55,52,27,27,26,21,40,26,-,-,49,E 81,F 83," 42,22
23,(a) Syphilis, primary,-,-,1,62,46,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23
24,(b) " secondary,1,-,1,21,19,28,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,46,35,43,923,812,"1,034",-,-,-,-,-,-,-,-,3,2,1,-,30,19,18,7,5,14,1,3,2,3,1,2,-,-,1,3,6,4,25
26,(d) Gonorrhoea,224,255,277,"5,925","5,802","6,023",8,9,5,-,1,-,9,5,8,7,8,4,44,42,75,34,50,41,26,24,23,18,39,22,-,-,47,78,77,37,26
