source_file,disease,cases
1957week_0001_tables.csv,Chickenpox,956
1957week_0001_tables.csv,Mumps,621
1957week_0002_tables.csv,Chickenpox,1087
1957week_0002_tables.csv,Mumps,906
1957week_0003_tables.csv,Chickenpox,1017
1957week_0003_tables.csv,Mumps,796
1957week_0004_tables.csv,Chickenpox,1025
1957week_0004_tables.csv,Mumps,894
1957week_0005_tables.csv,Chickenpox,871
1957week_0005_tables.csv,Mumps,903
1957week_0006_tables.csv,Chickenpox,1110
1957week_0006_tables.csv,Mumps,926
1957week_0007_tables.csv,Chickenpox,10
1957week_0007_tables.csv,Mumps,
1957week_0008_tables.csv,Chickenpox,1121
1957week_0008_tables.csv,Mumps,831
1957week_0009_tables.csv,Chickenpox,1319
1957week_0009_tables.csv,Mumps,768
1957week_0010_tables.csv,Chickenpox,1243
1957week_0010_tables.csv,Mumps,879
1957week_0011_tables.csv,Chickenpox,1110
1957week_0011_tables.csv,Mumps,922
1957week_0012_tables.csv,Chickenpox,1257
1957week_0012_tables.csv,Mumps,934
1957week_0013_tables.csv,Chickenpox,1275
1957week_0013_tables.csv,Mumps,917
1957week_0014_tables.csv,Chickenpox,950
1957week_0014_tables.csv,Mumps,891
1957week_0015_tables.csv,Chickenpox,895
1957week_0015_tables.csv,Mumps,588
1957week_0016_tables.csv,Chickenpox,1004
1957week_0016_tables.csv,Mumps,620
1957week_0017_tables.csv,Chickenpox,758
1957week_0017_tables.csv,Mumps,476
1957week_0018_tables.csv,Chickenpox,1340
1957week_0018_tables.csv,Mumps,724
1957week_0019_tables.csv,Chickenpox,990
1957week_0019_tables.csv,Mumps,597
1957week_0020_tables.csv,Chickenpox,
1957week_0020_tables.csv,Mumps,
1957week_0021_tables.csv,Chickenpox,772
1957week_0021_tables.csv,Mumps,568
1957week_0022_tables.csv,Chickenpox,762
1957week_0022_tables.csv,Mumps,503
1957week_0023_tables.csv,Chickenpox,881
1957week_0023_tables.csv,Mumps,453
1957week_0024_tables.csv,Chickenpox,731
1957week_0024_tables.csv,Mumps,503
1957week_0025_tables.csv,Chickenpox,665
1957week_0025_tables.csv,Mumps,329
1957week_0026_tables.csv,Chickenpox,439
1957week_0026_tables.csv,Mumps,255
1957week_0027_tables.csv,Chickenpox,303
1957week_0027_tables.csv,Mumps,206
1957week_0028_tables.csv,Chickenpox,255
1957week_0028_tables.csv,Mumps,165
1957week_0029_tables.csv,Chickenpox,202
1957week_0029_tables.csv,Mumps,147
1957week_0030_tables.csv,Chickenpox,257
1957week_0030_tables.csv,Mumps,161
1957week_0031_tables.csv,Chickenpox,123
1957week_0031_tables.csv,Mumps,108
1957week_0032_tables.csv,Chickenpox,76
1957week_0032_tables.csv,Mumps,137
1957week_0033_tables.csv,Chickenpox,67
1957week_0033_tables.csv,Mumps,72
1957week_0034_tables.csv,Chickenpox,68
1957week_0034_tables.csv,Mumps,73
1957week_0035_tables.csv,Chickenpox,109
1957week_0035_tables.csv,Mumps,51
1957week_0036_tables.csv,Chickenpox,82
1957week_0036_tables.csv,Mumps,104
1957week_0037_tables.csv,Chickenpox,114
1957week_0037_tables.csv,Mumps,156
1957week_0038_tables.csv,Chickenpox,109
1957week_0038_tables.csv,Mumps,91
1957week_0039_tables.csv,Chickenpox,115
1957week_0039_tables.csv,Mumps,123
1957week_0040_tables.csv,Chickenpox,129
1957week_0040_tables.csv,Mumps,
1957week_0041_tables.csv,Chickenpox,159
1957week_0041_tables.csv,Mumps,65
1957week_0042_tables.csv,Chickenpox,169
1957week_0042_tables.csv,Mumps,98
1957week_0043_tables.csv,Chickenpox,287
1957week_0043_tables.csv,Mumps,129
1957week_0044_tables.csv,Chickenpox,282
1957week_0044_tables.csv,Mumps,145
1957week_0045_tables.csv,Chickenpox,275
1957week_0045_tables.csv,Mumps,97
1957week_0046_tables.csv,Chickenpox,258
1957week_0046_tables.csv,Mumps,193
1957week_0047_tables.csv,Chickenpox,385
1957week_0047_tables.csv,Mumps,237
1957week_0048_tables.csv,Chickenpox,5
1957week_0048_tables.csv,Mumps,
1957week_0049_tables.csv,Chickenpox,646
1957week_0049_tables.csv,Mumps,330
1957week_0050_tables.csv,Chickenpox,474
1957week_0050_tables.csv,Mumps,182
1957week_0051_tables.csv,Chickenpox,308
1957week_0051_tables.csv,Mumps,184
1957week_0052_tables.csv,Chickenpox,1
1957week_0052_tables.csv,Mumps,
