DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended January 4, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,649,426,949,649,1001,1001,..,..,..,2,..,..,2,-,25,..,..,..,204,194,182,362,183,511,47,12,46,..,..,..,..,..,..,32,37,99,1,,,,,,,,,,,
2,Diphtheria, - ,1,3,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,15,8,11,15,19,19,-,-,-,4,7,-,-,-,-,1,-,-,1,..,..,3,1,2,-,-,-,6,-,-,-,-,-,-,-,6,3,,,,,,,,,,,
4,(a) Amoebic, - , - ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,15,8,11,15,19,19,-,-,-,4,7,-,-,-,-,1,-,-,1,..,..,3,1,2,-,-,-,6,-,-,-,-,-,-,-,6,5,,,,,,,,,,,
6,"Encephalitis, infectious", - , - ,-,-, - ,-,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",152,251,75,152,81,81,..,..,..,44,111,32,87,129,46,..,..,..,-,-,-,7,11,1,13,-,1,-,-,-,..,..,..,1,-,-,7,,,,,,,,,,,
8,Measles,312,305,1129,312,1129,1375,*,-,10,..,..,..,26,2,79,..,..,..,31,47,95,105,68,521,43,131,17,..,..,..,103,54,109,4,3,11,8,,,,,,,,,,,
