DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended February 15, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,898,638,1326,5106,7247,8715,..,..,..,..,..,..,6,4,.,..,..,..,146,140,340,507,284,658,20,26,35,..,..,..,..,..,..,219,184,166,1,,,,,,,,,,,
2,Diphtheria,-,2,2,8,33,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,7,9,9,71,350,70,-,-,-,2,5,-,-,-,-,-,-,-,1,3,-,-,-,4,2,-,1,1,-,-,-,-,-,1,1,4,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,7,9,9,70,350,69,-,-,-,2,5,-,-,-,-,-,-,-,1,3,-,-,-,4,2,-,1,1,-,-,-,-,-,1,1,4,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,2,-,2,1,4,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",258,337,99,1520,585,1244,..,..,..,66,186,23,100,121,48,..,..,..,-,-,-,78,21,4,14,9,2,-,-,-,..,..,..,-,-,23,7,,,,,,,,,,,
8,Measles,822,771,1864,3774,12729,11778,-,-,4,..,..,..,366,248,..,..,..,..,100,102,374,123,207,62,69,55,70,..,..,..,115,108,129,49,51,254,8,,,,,,,,,,,
