DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended March 1, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,989,822,1234,6917,9703,11148,*,..,..,..,..,..,24,12,..,..,..,..,183,166,236,534,437,614,23,16,25,..,..,..,..,..,..,225,191,197,1,,,,,,,,,,,
2,Diphtheria,-,5,2,13,39,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,8,8,14,87,447,159,-,2,-,-,1,-,-,-,-,-,-,-,6,2,1,-,1,1,1,-,-,1,2,-,-,-,-,-,-,6,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,8,8,14,86,447,158,-,2,-,-,1,-,-,-,-,-,-,-,6,2,1,-,1,1,1,-,-,1,2,-,-,-,-,-,-,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,3,1,4,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",151,323,327,1994,781,1895,..,..,.,56,103,29,48,207,87,..,..,..,-,-,-,44,7,5,3,6,2,-,-,2,..,..,..,-,-,42,7,,,,,,,,,,,
8,Measles,618,677,1884,5069,16468,15609,**,-,2,..,..,..,96,215,..,..,..,..,83,80,290,216,163,534,40,46,110,..,..,..,127,96,147,56,77,178,8,,,,,,,,,,,
