DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended April 26, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,768,879,758,13149,18195,18532,..,..,..,..,..,..,30,42,38,..,..,..,110,192,170,422,457,392,37,12,19,..,..,..,..,..,..,169,176,87,1,,,,,,,,,,,
2,Diphtheria,1,2,2,21,60,45,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,9,7,14,159,718,404,-,-,-,1,-,-,-,-,-,2,-,-,-,4,-,1,2,-,-,-,-,-,-,1,1,-,-,4,1,12,3,,,,,,,,,,,
4,(a) Amoebic,-,1,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,,,,,,,,,,,
5,(b) Bacillary,9,6,14,155,718,399,-,-,-,1,-,-,-,-,-,2,-,-,-,4,-,1,2,-,-,-,-,-,-,1,1,-,-,4,-,12,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,6,5,6,1,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",111,158,143,2994,1682,6402,..,..,..,65,39,37,26,82,57,..,..,..,-,-,-,-,22,12,2,8,6,-,-,-,..,..,..,18,7,4,7,,,,,,,,,,,
8,Measles,1068,991,1599,11083,31583,27881,-,-,8,..,..,..,60,132,30,..,..,..,210,240,316,365,421,554,305,28,27,..,..,..,41,55,226,87,115,216,8,,,,,,,,,,,
