DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended May 17, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,538,644,775,15138,21307,21307,*,..,..,..,2,..,11,10,18,..,..,..,97,81,157,321,388,420,9,28,15,..,..,..,..,..,..,100,135,142,1,,,,,,,,,,,
2,Diphtheria,1,1,-,24,64,50,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,4,12,11,182,763,473,-,-,-,-,6,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,1,-,-,-,2,-,3,1,10,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,4,12,11,178,763,468,-,-,-,-,6,-,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,1,-,-,-,2,-,3,1,10,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,1,-,8,7,7,-,1,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",138,181,156,3409,2036,6911,..,..,..,37,62,94,34,76,36,..,..,..,-,-,-,-,9,2,5,7,7,-,-,-,..,..,..,62,27,1,7,,,,,,,,,,,
8,Measles,773,1126,1490,13939,35637,32460,**,-,-,..,..,..,6,122,18,..,..,..,146,196,319,502,451,597,40,214,48,..,..,..,44,73,250,35,70,228,8,,,,,,,,,,,
