DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended July 19, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,(9) Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,266,321,301,19564,26307,26307,..,..,..,..,..,..,26,110,18,..,..,..,34,31,35,142,128,123,43,15,15,..,..,..,..,8,..,21,29,63,1,,,,,,,,,,,
2,Diphtheria,1,-,2,33,70,61,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,12,16,12,304,844,665,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,1,-,1,-,1,-,-,-,8,15,2,3,,,,,,,,,,,
4,(a) Amoebic,1,-,-,6,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,,,,,,,,,,,
5,(b) Bacillary,11,16,6,298,842,653,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,-,1,-,1,-,-,-,7,15,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,12,11,14,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",228,327,36,4943,2927,8310,..,..,..,21,23,9,196,304,13,..,..,..,-,-,-,2,-,7,2,-,2,-,-,-,..,..,..,7,-,-,7,,,,,,,,,,,
8,Measles,508,708,481,22459,43943,42113,**,-,1,22,6,..,38,77,30,..,..,..,115,128,116,281,373,166,30,27,11,..,..,..,-,69,68,22,28,72,8,,,,,,,,,,,
