DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended August 16, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,67,263,118,20224,26858,26858,..,..,..,..,..,..,1,1,8,..,..,..,11,158,20,37,57,44,11,19,9,..,..,..,..,..,..,7,28,24,1,,,,,,,,,,,
2,Diphtheria,-,-,1,33,84,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,30,17,16,419,888,733,-,-,-,1,1,-,-,-,-,2,-,-,-,3,-,1,1,4,11,4,-,-,-,3,-,-,-,15,8,5,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,8,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,30,17,16,411,886,721,-,-,-,1,1,-,-,-,-,2,-,-,-,3,-,1,1,4,11,4,-,-,-,3,-,-,-,15,8,5,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,12,21,19,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",113,41,66,5239,3740,8616,..,..,..,45,28,27,64,-,31,..,..,..,-,-,-,-,-,2,4,-,-,-,-,-,..,..,..,-,13,-,7,,,,,,,,,,,
8,Measles,200,310,240,23653,45041,43284,-,-,2,10,9,..,7,6,14,..,..,..,35,50,31,117,190,54,20,27,10,..,..,..,-,18,54,11,10,22,8,,,,,,,,,,,
