DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended September 6, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,81,108,83,20485,27133,27133,..,..,..,..,..,..,-,1,4,..,..,..,41,44,17,24,33,30,6,6,3,..,..,..,..,..,..,10,24,17,1,,,,,,,,,,,
2,Diphtheria,1,1,1,35,101,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,34,45,10,545,912,776,-,-,-,8,3,-,-,-,-,-,1,-,5,1,1,3,2,3,1,5,-,-,-,-,2,4,-,15,29,5,3,,,,,,,,,,,
4,(a) Amoebic,-,1,-,9,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,34,44,10,536,908,757,-,-,-,8,3,-,-,-,-,-,1,-,5,1,1,3,1,2,1,5,-,-,-,-,2,4,-,15,29,5,5,,,,,,,,,,,
6,"Encephalitis, infectious",4,-,2,18,22,23,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",65,66,90,5435,5046,8915,..,..,..,25,20,48,38,20,62,1,1,..,-,-,-,-,-,-,2,-,1,-,-,-,..,..,..,-,25,2,7,,,,,,,,,,,
8,Measles,125,164,176,24130,45535,43847,*,-,1,..,9,..,2,4,12,..,..,..,32,11,39,70,110,27,-,5,11,..,..,..,12,10,16,9,15,18,8,,,,,,,,,,,
