DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended October 25, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week ,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,341,168,409,21570,28222,28746,..,..,..,..,..,..,48,4,11,..,..,..,73,34,147,138,80,139,10,7,13,..,..,..,..,..,..,72,43,68,1,,,,,,,,,,,
2,Diphtheria,-,-,6,48,121,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,31,37,9,845,2021-01-28 00:00:00,863,-,-,-,-,-,-,-,1,-,-,-,-,3,3,2,8,10,-,1,-,1,1,1,-,1,13,-,17,9,2,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,31,37,9,835,1023,835,-,-,-,-,-,-,-,1,-,-,-,-,3,3,-,8,10,-,1,-,1,1,1,-,1,13,-,17,9,2,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,-,1,23,28,35,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",114,66,73,6066,118898,9818,..,..,..,30,33,19,74,18,50,..,..,..,-,-,-,-,-,3,8,2,2,-,-,-,..,..,..,2,13,-,7,,,,,,,,,,,
8,Measles,469,491,530,26844,46969,46696,*,-,-,..,..,..,35,51,19,..,..,..,49,33,93,272,300,58,7,35,18,..,..,..,41,28,69,92,44,64,8,,,,,,,,,,,
