DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended November 8, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,312,351,514,22233,28799,30086,*,..,..,9,..,..,5,8,25,..,..,..,-,42,137,141,216,196,26,11,36,..,..,..,..,..,..,131,74,88,1,,,,,,,,,,,
2,Diphtheria,2,6,4,56,124,107,1,2,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,1,-,-,-,3,-,-,-,1,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,29,47,14,921,1038,905,-,-,-,2,-,-,-,-,-,-,-,-,-,15,1,9,4,2,1,-,-,3,-,-,2,7,-,12,21,3,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,29,47,13,911,1033,875,-,-,-,2,-,-,-,-,-,-,-,-,-,15,1,9,4,2,1,-,-,3,-,-,2,7,-,12,21,3,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,1,-,24,28,37,-,1,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",128,160,89,635,157719,10037,..,..,..,106,61,43,11,97,35,2,..,..,-,-,-,-,1,5,-,1,1,-,-,-,..,..,..,9,-,2,7,,,,,,,,,,,
8,Measles,661,645,593,28500,47013,47013,**,-,2,..,..,..,48,151,23,..,..,..,-,28,108,442,346,101,28,10,14,..,..,..,62,27,51,81,83,68,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",8,6,3,256,288,262,4,3,1,1,-,-,-,2,-,1,-,-,-,1,-,2,-,1,-,-,-,-,-,-,..,..,..,-,-,-,9,,,,,,,,,,,
10,Mumps,179,166,398,10747,20665,23070,***,..,..,6,6,..,-,18,8,..,..,..,-,29,91,103,51,163,20,16,23,..,..,..,..,..,..,50,46,43,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",2,11,16,272,261,951,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,1,-,2,1,1,-,-,-,1,-,2,5,-,-,5,11,,,,,,,,,,,
12,(a) With paralysis,1,6,14,207,165,507,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,1,-,1,-,1,-,-,-,1,-,-,1,-,-,4,12,,,,,,,,,,,
13,(b) Without paralysis,1,5,6,65,90,357,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,1,-,-,-,-,-,-,2,-,-,-,-,13,,,,,,,,,,,
14,Rubella,39,57,43,7083,16072,16072,-,-,-,..,..,..,..,..,..,..,..,..,-,3,9,18,18,11,1,1,-,..,..,..,14,7,9,6,28,11,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",243,258,162,8367,7480,10227,9,7,3,6,8,6,-,33,21,9,-,1,-,13,18,72,38,33,72,57,6,3,66,5,23,6,27,49,30,19,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",72,106,176,6260,6893,8491,2,3,4,-,-,1,-,1,1,21,8,10,-,59,47,14,16,24,19,10,19,-,4,7,1,-,22,15,5,23,17,,,,,,,,,,,
18,(a) Pulmonary,51,85,146,4895,5325,7004,2,3,4,-,-,-,-,1,1,19,8,10,-,56,47,(7),(7),(7),18,9,18,-,3,6,1,-,21,11,5,22,18,,,,,,,,,,,
19,(b) Non-pulmonary,7,5,6,459,446,481,-,-,-,-,-,1,-,-,-,2,-,-,-,3,1,(7),(7),(7),1,1,-,-,1,1,-,-,-,4,-,2,19,,,,,,,,,,,
20,Typhoid and paratyphoid,2,4,9,272,252,399,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,20,,,,,,,,,,,
21,Undulant fever,1,4,1,90,116,116,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,..,..,..,1,-,-,21,,,,,,,,,,,
22,Venereal diseases:,332,360,395,14464,14314,14537,3,9,6,-,-,-,8,7,11,8,7,3,81,88,79,47,69,66,25,35,22,33,29,35,51,5,57,76,60,93,22,,,,,,,,,,,
23,"(a) Syphilis, primary",7,3,4,99,133,133,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,2,-,-,4,1,-,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,2,6,1,68,41,46,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,1,4,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,42,45,40,1574,1807,1984,-,1,1,-,-,-,1,1,-,2,3,-,21,17,19,8,10,9,1,-,1,3,4,2,1,3,1,5,6,6,25,,,,,,,,,,,
26,(d) Gonorrhoea,281,306,335,12717,12321,12614,3,8,5,-,-,-,7,6,10,6,4,2,58,71,58,39,56,55,24,35,21,28,24,29,45,48,56,71,54,85,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,1,6,12,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,142,161,209,5874,6528,8053,2,-,-,23,20,-,-,8,9,-,-,-,-,35,112,64,76,53,-,-,5,6,1,6,15,9,10,32,12,10,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Reports for the Province of Quebec not avaiable since November 1. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,41 (32),Measles,2444 (1640),"Meningitis, other",96 (122),"Poliomyelitis, with paralysis",96 (122),Typhoid fever,20 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",29 (54),Meningococcal infections,32 (34),"Poliomyelitis, acute",158 (201),"Poliomyelitis, without paralysis",34 (35),Undulant fever,15 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of cases of piliolmyelitis reported for the week ended November 8, 1958, continues the  downward trend in the number of casesreported during recent weeks.A total of 159 cases wer reported; 96 of these were paralytic and 34 nonparalytic. For the week ended November 9, 1957, there were 71 cases reported, including 39 paralytic and 18 nonparalytic. The current week is the first since the week ended August 9, 1958, that less than 100 paralytic cases were reported. California reporting 19 paraytic casrs and Michigan 12 were the only states to report 10 or more paralytic cases for the current week. No poliomyelitis was reported in the New England States. The cumulative total of all poliomyelitis cases reported since the week ended April 5, the seasonal low week this year, now slightly exceeds the cumulativ total of all cases for the same period last year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NEWFOUNDLAND reports Chickenpox (epidemic) at Gander Bay and Fogo District.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** NEWFOUNDLAND reports Measles (epidemic) at Campbellton, N.D.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"***NEWFOUNDLAND reports Mumps (epidemic) at Campbellton, N.D.B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Samara Manzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
