DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 6, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2 (9),,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,534,498,881,24036,30540,33742,..,..,..,4,..,..,6,65,56,..,..,..,-,-,255,269,251,315,33,35,52,..,..,..,..,..,..,222,147,154,1,,,,,,,,,,,
2,Diphtheria,-,4,7,61,137,13,-,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,14,55,13,1047,1075,960,-,-,-,-,2,-,-,-,-,-,5,-,-,-,1,11,8,1,-,24,-,-,-,3,-,-,1,3,16,6,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,14,55,11,1037,170,928,-,-,-,-,2,-,-,-,-,-,5,-,-,-,1,11,8,1,-,24,-,-,-,3,-,-,1,3,16,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,-,26,30,41,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",112,138,96,6847,252892,10726,..,..,..,63,66,50,46,66,45,..,1,..,-,-,-,2,-,1,-,2,1,-,-,-,..,..,..,1,3,-,7,,,,,,,,,,,
8,Measles,965,969,887,32161,48284,50033,-,-,3,..,..,..,55,177,47,..,..,..,-,-,131,689,615,196,14,8,31,..,..,..,62,55,93,145,114,76,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",2,6,4,269,312,280,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,..,..,..,-,1,1,9,,,,,,,,,,,
10,Mumps,202,266,603,11642,21716,25583,..,..,..,3,..,..,-,63,18,..,..,..,-,-,110,137,151,211,25,8,14,..,..,..,..,..,..,37,44,95,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",3,5,9,286,267,999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,4,-,1,-,-,-,-,1,2,-,2,11,,,,,,,,,,,
12,(a) With paralysis,2,4,4,220,168,536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,3,-,-,-,-,-,-,-,2,-,1,12,,,,,,,,,,,
13,(b) Without paralysis,1,1,4,66,93,372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,13,,,,,,,,,,,
14,Rubella,88,52,105,7408,16364,16364,-,-,-,..,..,..,..,..,..,..,..,..,-,-,2,45,25,20,8,5,-,..,..,..,27,15,21,8,7,24,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",475,374,200,9843,8070,11090,13,21,4,19,13,12,107,91,9,-,-,1,-,-,46,61,58,54,57,57,10,64,1,9,27,33,16,127,100,22,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",73,86,159,6608,7576,9226,6,2,7,-,1,2,1,-,-,13,14,2,-,-,59,19,19,25,6,12,18,5,17,4,5,6,16,18,15,23,17,,,,,,,,,,,
18,(a) Pulmonary,49,62,120,5137,5834,7613,6,2,7,-,1,2,1,-,-,12,13,2,-,-,58,(7),(7),(7),6,9,16,4,17,4,4,6,16,16,14,22,18,,,,,,,,,,,
19,(b) Non-pulmonary,5,5,7,482,480,513,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,(7),(7),(7),-,3,-,1,-,-,1,-,-,2,1,2,19,,,,,,,,,,,
20,Typhoid and paratyphoid,3,2,6,279,266,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,1,1,-,-,1,-,2,-,-,20,,,,,,,,,,,
21,Undulant fever,2,-,3,94,118,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,..,..,..,-,-,-,21,,,,,,,,,,,
22,Venereal diseases:,321,269,355,15703,15585,15839,5,10,3,-,-,-,13,3,12,7,5,3,60,46,109,76,49,61,20,15,33,28,21,26,45,47,61,67,73,57,22,,,,,,,,,,,
23,"(a) Syphilis, primary",3,4,1,112,138,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,-,1,-,-,2,-,23,,,,,,,,,,,
24,(b) '' secondary,1,3,1,78,44,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,34,37,42,1719,1941,2145,-,-,-,-,-,-,2,-,2,1,1,-,20,20,20,7,9,15,-,1,-,1,1,2,-,-,4,3,4,2,25,,,,,,,,,,,
26,(d) Gonorrhoea,283,224,307,13787,13450,13800,5,10,3,-,-,-,11,3,5,6,4,3,40,26,89,67,35,47,19,14,30,26,20,25,45,45,56,64,67,54,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,1,-,7,12,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,101,112,217,6327,7222,8865,-,-,-,2,19,1,-,9,22,-,-,1,-,-,77,77,54,59,-,-,5,1,1,5,14,9,16,7,20,33,28,,,,,,,,,,,
