DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 20, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2 (9) (10),,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,232,522,903,24801,31529,35611,..,..,..,14,7,..,12,39,35,..,..,..,-,-,255,183,260,231,23,12,42,..,..,..,..,..,..,-,204,179,1,,,,,,,,,,,
2,Diphtheria,-,1,2,62,139,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,16,22,13,1085,1103,1028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,12,2,14,-,-,-,-,2,-,-,-,-,10,-,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,16,22,13,1075,1097,996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,12,2,14,-,-,-,-,2,-,-,-,-,10,-,5,,,,,,,,,,,
6,"Encephalitis, infectious",2,-,-,27,32,41,1,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",83,103,106,7060,253979,10964,..,..,..,44,79,35,38,8,70,..,1,..,-,-,-,-,-,2,1,8,1,-,-,-,..,..,..,-,7,-,7,,,,,,,,,,,
8,Measles,602,753,987,33519,48899,52685,-,-,3,..,..,..,12,13,47,..,..,..,-,-,228,569,399,124,21,11,17,..,..,..,-,107,82,-,223,61,8,,,,,,,,,,,
