DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 27, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,,,,,,,,,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,265,364,856,25198,31973,36469,..,..,..,..,14,..,21,19,4,..,..,..,-,-,197,228,183,420,16,23,25,..,..,..,..,..,..,-,125,91,1,,,,,,,,,,,
2,Diphtheria,-,1,8,63,142,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,4,23,6,1115,1111,1042,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,4,-,-,14,-,-,-,-,-,-,-,-,5,1,3,,,,,,,,,,,
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,,,,,,,,,,,
5,(b) Bacillary,4,23,6,1105,1105,1010,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,4,-,-,14,-,-,-,-,-,-,-,-,5,1,5,,,,,,,,,,,
6,"Encephalitis, infectious",-,1,-,27,32,42,-,1,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",83,112,51,7172,254237,11117,..,..,..,76,44,40,4,57,14,1,..,..,-,-,-,-,-,1,2,1,3,-,-,-,..,..,..,-,10,-,7,,,,,,,,,,,
8,Measles,611,835,773,34363,49226,53938,*,-,4,..,..,..,35,12,31,..,..,..,-,-,170,567,569,267,9,21,42,..,..,..,-,84,54,-,149,69,8,,,,,,,,,,,
