DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended December 6, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2 ,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,
,,Report Week,Previous Week,Median 1953-57,Cumulative Total 3,,,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,,
,,,,,1958,1957,Median 1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3,Dysentery: 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
4,(a) Amoebic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
5,(b) Bacillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
6,"Encephalitis, infectious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
7,"Influenza, epidemic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
8,Measles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
9,"Meningitis, Meningococcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
10,Mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
11,"Poliomyelitis, epidemic: 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
12,(a) With paralysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,
13,(b) Without paralysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
14,Rubella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
15,"Scarlet fever, etc. 5 **",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,
16,Smallpox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,
17,"Tuberculosis: 4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,
18,(a) Pulmonary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,
19,(b) Non-pulmonary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,
20,Typhoid and paratyphoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,
21,Undulant fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,
22,Venereal diseases:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
23,"(a) Syphilis, primary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
24,(b) '' secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,
25,(c) '' other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,
26,(d) Gonorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,
27,(e) Other venereal diseases 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,
28,Whooping cough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Reports for the Province of Quebec not avaiable since November 1. (10) Report not received. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,,Measles,,"Meningitis, other",,"Poliomyelitis, with paralysis",,Typhoid fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious",,Meningococcal infections,,"Poliomyelitis, acute",,"Poliomyelitis, without paralysis",,Undulant fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
