Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,83/2,SASK,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report, Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report,Previous,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,Median,,,,,,,,,Median,Week,Week,Median 1 953-57,
1,Chickenpox,810,786,"1,345","3,417","4,137","4,849",..,..,:.,....,8,..,4,34,65,..,..,..,194,268,322,392,286,698,27,11,,,:,: .,:,:.,:,193,179,131,1
2,Diphtheria,1,1,5,3,19,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,,-,-,-,-,1,-,-,-,-,2
3,Dysentery:4,8,15,14,52,50,50,-,-,-,7,1,-,-,-,-,-,-,-,1,7,.....,-,-,4 2,-,-,-,-,3,-,-,-,-,-,4,6,3
4,(a) Amoebic,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,....,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,8,15,13,52,49,49,-,-,-,7,1,-,-,-,-,-,-,-,1,7,....,-,-,2,-,-,-,-,3,-,-,-,-,-,4,6,5
6,Encephalitis, infectious,-,-,1,-,1,2,-,-,-,...,...,...,-,-,-,-,-,-,...,...,.....,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,137,223,241,683,358,535,*,R.9.,9.8,52,57,27,49,140,55,a.a,R.O.,...,-,-,-,35,20,2,1,4,1,-,-,-,....,is.,,....,-,2,1,7
8,Measles,391,480,"1,765","1,775","6,541","6,541",**,-,12,R.P.,...,9.8,40,93,84,R.P.,9.9.,...,84,65,265,110,111,603,55,32,65,9.2,....,...,80,160,105,22,19,195,8
9,Meningitis, meningococcal,16,7,3,34,18,25,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,7,4,1,3,1,-,1,1,-,a.e.,...,a.e.,2,-,1,9
10,Mumps,335,501,902,"1,655","3,225","3,225",..,:.,:.,:,4,:.,42,15,44,..,..,...,98,144,:.,147,184,309,15,6,26,...,...,:,...,..,..,33,148,172,10
,Poliomyelitis, epidemic:4,2,2,4,6,8,18,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,2,1,-,-,-,11
11,With paralysis,-,2,2,4,6,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,12
12,(a) Without paralysis,2,-,2,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,13
13,(b) Rubella,131,115,285,528,"1,350",790,-,-,-,...,9.9,R.P.,-,12,8,...,9.9,R.P.,9.,7,7,19,12,69,1,1,1,...,....,...,83,71,31,19,12,60,14
14 15,Scarlet fever, etc.,364,329,329,"1,130",954,"1,145",31,19,1,2,6,10,202,209,19,2,-,4,21,18,56,70,45,98,3,1,9,3,3,11,17,19,37,13,9,22,15
,Smallpox,-,-,-,-,-,-,-,-,-,9.9.,",...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16 17,Tuberculosis:4,6,175,189,146,845,560,611,5,10,4,1,2,-,-,3,4,20,13,5,60,91,50,22,21,24,7,-,6,2,7,13,29,14,19,29,28,18,17
18,(a) Pulmonary,145,157,109,704,445,494,5,10,4,-,1,-,-,3,3,20,11,5.,59,90,48,(7),(7),(7),7,-,6,2,5,9,27,12,18,25,25,16,18
19,(b) Non-pulmonary,8,11,11,51,48,39,-,-,1,1,1,-,-,-,-,-,2,-,1,1,5,(7),(7),(7),-,-,-,-,2,2,2,2,1,4,3,2,19
20,Typhoid and paratyphoid,4,7,5,23,27,27,-,1,-,-,-,-,-,-,-,1,5,-,2,1,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,20
21,Undulant fever,1,1,2,8,10,9,-,-,-,-,-,-,-,-,-,-,-,-,1,...,P.R.,-,1,-,-,-,-,-,-,-,...,.....,..,-,-,-,21
22,Venereal diseases:,409,320,369,"1,390","1,339","1,339",8,5,11,1,-,1,13,13,9,10,3,4,71,88,99,50,49,56,24,26,28,32,28,17,45,45,57,155,63,78,22
23,(a) Syphilis, primary,5,4,4,12,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,1,-,5,2,-,23
24,(b) " secondary,1,1,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-,,-,-,24
25,(c) " other,67,43,49,172,135,186,-,-,1,-,-,-,-,2,1,-,-,1,33,26,20,10,6,16,1,1,1,2,1,1,5,2,3,16,5,4,25
26,(d) Gonorrhoea,336,272,305,"1,203","1,191","1,191",8,5.,11,1,-,-,13,11,6,10,3,3,38,62,77,40,43,39,.23,25,27,29,26,16,40,41,49,134,56,74,26
27,(e) Other venereal diseases⁸,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,151,159,264,639,635,721,-,-,-,-,-,-,31,16,10,-,-,1,33,49,84,33,40,52,1,-,4,-,-,11,17,22,7,36,32,17,28
