Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN,,,SASK.,,,,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total,,,,,,,,,,,,,,,,,,,,,,,Previous,,,Previous,,Week,,,No.
,,Report Week,Previous Week,Median 1953-57,(9) 1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1955-57,Report Week,Weekt,,Report Oweek,,,Report,Previous Week,Median 1 953-57,
1,Chickenpox,638,742,"1,279","4,208","6,139","7,412",:.,:.,:,:.,:.,:,4,9,:,:.,:.,:,140,175,379,284,379,492,26,26,55,,:.,,,:,:.,184,153,180,1
2,Diphtheria,2,4,1,8,22,19,-,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,-,-,,,,-,-,-,-,-,-,
3,Dysentery:4,9,6,10,64,61,61,-,-,-,5,1,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,,-,-,-,-,1,4,2,2 3
4,(a) Amoebic,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4
5,(b) Bacillary,9,5,10,63,60,60,-,-,-,5,1,-,-,-,-,-,-,-,3,-,-,-,-,3,-,-,-,-,1,-,-,-,-,1,3,2,5
6,Encephalitis, infectious,2,-,-,2,1,3,-,-,-,:,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,334,227,97,"1,259",515,938,:.,:,:,186,72,26,121,74,56,:.,:,:,-,-,-,18,60,5,9,21,2,-,-,-,:.,:,:.,-,-,5,7
8,Measles,771,574,"1,795","2,952","10,828","10,098",-,-,10,:.,:.,:.,248,138,:.,:.,..,:.,102,59,266,207,114,623,55,83,196,:.,:,::,108,129,56,51,51,223,8
9,Meningitis, meningococcal,14,5,9,51,35,39,5,2,-,-,-,-,-,-,-,-,1,1,1,-,-,5,2,3,-,-,-,1,-,-,:,:.,:.,2,-,-,9
10,Mumps,419,362,876,"2,092","5,075","5,075",*,3.9,...,...,1,...,35,53,....,..,...,..,131,132,164,1/1,126,359,17,8,39,:,:,:.,:,:.,:,95,42,202,10
11,Poliomyelitis, epidemic:4,-,1,6,6,17,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,
12,(a) With paralysis,-,1,3,4,11,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,11 12
13,(b) Without paralysis,-,-,1,2,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,177,196,294,884,"2,560","1,517",-,-,-,...,...,...,5,14,...,...,...,...,9,17,20,32,42,53,1,3,3,:.,:.,:.,96,101,26,34,19,53,14
15,Scarlet fever, etc.5,406,442,341,"1,913","1,448","1,828",17,14,9,7,24,7,248,272,12,-,-,2,29,24,80,50,63,126,4,2,14,7,-,5,37,38,32,7,5,40,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",212,173,193,"1,016",861,"1,014",11,1,5,1,-,1,-,-,3,16,13,12,114,72,73,23,17,26,13,8,6,6,4,8,17,43,21,11,15,28,17
18,(a) Pulmonary,181,151,147,834,674,807,11,1,4,1,-,1,-,-,3,15,11,12,113,70,70,(7),(7),(7),11,8,6,6,4,6,14,42,20,10,15,25,18
19,(b) Non-pulmonary,8,5,9,52,67,67,-,-,-,-,-,-,-,-,-,1,2,-,1,2,3,(7),(7),(7),2,-,-,-,-,1,3,1,1,1,-,3,19
20,Typhoid and paratyphoid,7,1,5,23,33,34,-,-,-,-,-,-,-,-,-,1,-,1,5,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,20
21,Undulant fever,1,-,2,5,11,10,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,..,:.,:.,-,-,-,21
22,Venereal diseases:,296,339,309,"2,025","1,982","2,021",17,8,9,-,1,-,11,7,9,5,.3,6,64,84,77,45,45,61,34,24,22,25,25,21,50,47,46,45,95,42,22
23,(a) Syphilis, primary,1,-,3,13,18,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,23
24,(b) " secondary,-,2,1,5,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,-,-,-,1,-,1,-,24
25,(c) " other,37,34,38,243,199,288,2,-,1,-,-,-,-,1,4,1,-,1,18,25,15,6,4,10,3,-,2,1,-,1,1,-,1,5,4,5,25
26,(d) Gonorrhoea,258,303,266,"1,764","1,764","1,775",15,8,9,-,1,-,11,6,9.,4,3,4,46,59,62,39,41,52,31,24,18,23,24,20,49,47,45,40,90,37,26
27,(e) Other venereal diseases⁸,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,136,187,162,849,"1,091","1,100",-,-,-,-,-,1,10,37,1,-,-,1,34,32,64,33,53,41,-,20,8,-,1,3,16,13,9,43,31,16,28
