Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK,,Veneter,,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,Previous,,Report,,,Report,,,Report,Previous,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous,1953-57,Report feek,,Cotro,Report,,Median,No.
,,Report Week,Previous Week,Median 1953-57,(9) 1958,1957,Median 1953-57,Week,Week,Median 1953-57,Week,Previous Week,Median 1953-57,Week,Previous Week,Median 1953-57,Week,Week,Median 1953-57,Week,,Median,,,Median,,,,,,Median,,P,Median,Week,Previous Week,1953-57,
1,Chickenpox,898,638,"1,326","5,106","7,247","8,715",:,:,:,,:.,:,6,4,:,:.,:.,:,146,140,340,507,284,658,20,26,35,:,:,:.,:,:.,:,219,184,166,1
2,Diphtheria,-,2,2,8,33,20,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,2,-,ene,,2
3,Dysentery:4,7,9,9,71,350,70,-,-,-,2,5,-,-,-,-,-,-,-,1,3,-,-,-,4,2,-,1,1,-,-,-,-,-,1,1,4,3
4,(a) Amoebic,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,7,9,9,70,350,69,-,-,-,2,5,-,-,-,-,-,-,-,1,3,-,-,-,4,2,-,1,1,-,-,-,-,-,1,1,4,5
6,Encephalitis, infectious,-,2,-,2,1,4,-,-,-,...,...,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,6
7,Influenza, epidemic,258,337,99,"1,520",585,"1,244",....,...,...,66,186,23,100,121,48,...,...,...,-,-,-,78,21,4,14,9,2,-,-,-,:,I :.,:,-,-,23,7
8,Measles,822,771,"1,864","3,774","12,729","11,778",-,-,4,...,....,...,366,248,...,...,.....,...,100,102,374,123,207,624,69,55,70,:.,:,:,115,108,129,49,51,254,8
