Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN,,,SASK.,I,1958LTA,,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total 3,Report,,,,,,,,,,,,,,,,,,,,1953-57,,Previous,,Report,Previous,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median,Report -Week.,Week,Median 1953-57,,Week,Median 1953-57,Report Week,Previous Week,Median 1 953-57,
1,Chickenpox,768,879,758,"13,149","18,195","18,532",...,..,,...,..,..,30,42,38,...,....,...,110,192,170,422,457,392,37,12,,...,,,....,...,,169,176,87,1
2,Diphtheria,1,2,2,21,60,45,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,-,-,1,-,-,-,-,2
3,Dysentery:4,9,7,14,159,718,404,-,-,-,1,-,-,-,-,-,2,-,-,-,4,-,1,2,21 -,,-,,-,-,,1,-,-,4,1,12,3
4,(a) Amoebic,-,1,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4
5,(b) Bacillary,9.,6,14,155,718,399,-,-,-,1,-,-,-,-,-,2,-,-,-,4,-,1,2,-,-,-,-,-,-,1,1,-,-,4,-,12,5
6,Encephalitis, infectious,1,-,-,6,5.,6,1,-,-,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,111,158,143,"2,994","1,682","6,402",a.e,9.8,R...,65,39,37,26,82,57,...,R.P.,...,-,-,-,-,22,12,2,8,6,-,-,-,...,is.,...,18,7,4,7
8,Measles,"1,068",991,"1,599","11,083","31,583","27,881",-,-,8,R.R,R.P.,...,60,132,30,...,A.P.,...,210,240,316,365,421,554,305,28,27,P...,9.8,9.9.,41,55,226,87,115,216,8
9,Meningitis, meningococcal,4,8,7,111,100,110,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,-,1,-,-,-,-,...,...,...,1,3,1,9
10,Mumps,364,401,765,"5,975","13,813","14,192",a.e.,..A,a.,...,a.9.,9.8,2,15,16,...,a.a,...,106,135,191,169,147,380,13,71,17,...,R.S.,...,R.P.,9.9,S.P.,74,33,83,10
11,Poliomyelitis, epidemic:4,-,-,3,16,31,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,11
12,(a) With paralysis,-,-,1,13,20,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,12
13,(b) Without paralysis,-,-,1,3,9.,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,13
14,Rubella,214,304,392,"3,099","10,945","10,589",-,-,-,9.8,R.P.,...,....,4,....,9.8,R.P.,P.R,8,10,16,124,115,112,4,7,1,...,...,....,46,154,11,32,14,33,14
15,* Scarlet fever, etc.,199,226,307,"4,608","4,103","5,908",10,11,2,9,7,7,37,75,21,1,-,-,9,9,69,107,82,63,4,2,4,-,2,9,20,31,12,2,7,21,15
16,Smallpox,-,-,-,-,-,-,-,-,-,9.8,2.9.,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",128,150,153,"2,515","2,982","3,015",5.,-,6,3,-,1,1,1,2,11,11,14,52,86,35,13,16,21,5,8,13,2,1,11,18,4,18,18,23,22,17
18,(a) Pulmonary,107,121,123,"1,983","2,347","2,445",5,-,6,3,-,1,1,1,2,11,11,14,48,80,34,(7),(7),(7),5,8,12,1,-,8,15,4,18,18,17,20,18
19,(b) Non-pulmonary,8,13,9,159,187,187,-,-,-,-,-,-,-,-,-,-,-,-,4,6,1,(7),(7),(7),-,-,-,1,1,3,3,-,-,-,6,4,19
20,Typhoid and paratyphoid,4,11,5,92,96,112,-,-,-,-,-,-,-,-,-,-,-,-,3,10,2,-,1,1,-,-,-,-,-,-,-,-,-,1,-,1,20
21,Undulant fever,-,1,2,16,31,31,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,...,...,:.,-,-,-,21
22,Venereal diseases:,323,286,302,"5,473","5,478","5,600",13,2,8,-,-,-,2,13,6,9,2,3,81,41,80,48,50,69,34,24,27,20,31,19,33,47,51,83,76,63,22
23,(a) Syphilis, primary,4,6,1,37,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,-,-,-,1,-,-,3,-,1,1,-,23
24,(b) " secondary,1,1,2,17,13,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,-,-,-,-,-,-,-,24
25,(c) " other,29,46,39,652,698,798,-,-,-,-,-,-,-,1,-,3,1,1,to,9,19,$,9,11,2,-,2,1,3,2,1,18,1,6,5,3,25
26,(d) Gonorrhoea,289,233,256,"4,766","4,716","4,716",13,2,8,-,-,-,2,12,4,6,1,1,73,31,60,36,41,52,32,24,23,19,26,17,32,26,48,76,70,56,26
27,(e) Other venereal diseases⁸,-,-,-,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,90,129,195,"1,983","2,489","2,953",-,-,-,8,-,5,3,5,18,-,-,-,16,14,59,26,42,32,1,20,5,2,-,2,13,7,12,21,41,9,28
