Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,Previous,,Report,Previous,,,,,Report,Previous,,Report,Previous,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Week,Week,Median 1953-57,Week,Week,Median,,,Median,,,,,,,,,Median,,,Median,
1,Chickenpox,525,609,741,"17,471","24,444","24,444",:,:.,:,:.,8,:.,3,6,47,:,:,:,98,75,143,269,403,419,22,17,23,:,:,:,:,:.,:,133,100,98,1
2,Diphtheria,-,-,1,29,68,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2
3,Dysentery:4,10,40,9,242,801,549,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,5,-,-,1,-,-,1,-,-,3,36,7,3
4,(a) Amoebic,-,1,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4
5,(b) Bacillary,10,39,9,237,801,544,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,5,-,-,1,-,-,1,-,-,3,35,7,5
6,Encephalitis, infectious,1,1,-,10,8,11,1,-,-,:,:.,:.,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,65,61,68,"3,967","2,530","7,593",:.,:,..,36,30,17,13,25,52,:,:.,:.,-,-,-,1,1,3,15,5,1,-,-,-,..,:.,:.,-,-,-,7
8,Measles,"1,158","1,112","1,382","18,480","40,581","38,312",-,-,4,:.,:.,:.,110,96,27,:,:.,:,234,188,299,645,674,641,38,27,29,:,:.,:,45,57,249,86,70,207,8
9,Meningitis, meningococcal,6,3,7,145,153,154,1,1,-,-,-,-,-,-,-,-,-,1,1,2,-,1,-,1,2,-,1,-,-,1,:.,:.,:.,1,-,-,9
10,Mumps,275,356,503,"8,239","17,781","18,735",:,:.,:.,:,:,:,19,12,33,:,..,:,96,59,112,119,149,220,29,91,16,:,:.,:.,:,:.,..,12,45,84,10
11,Poliomyelitis, epidemic:4,1,4,5,34,47,117,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,1,1,-,-,-,-,1,-,-,-,2,11
12,(a) With paralysis,1,4,3,28,30,71,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,1,12
13,(b) Without paralysis,-,-,3,6,15,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,13
14,Rubella,383,352,470,"5,483","14,283","14,283",-,-,-,:.,....,..,..,...,..,...,..,...,15,13,32,301,193,97,6,59,2,:.,:.,:,45,54,19,16,33,34,14
15,Scarlet fever, etc. 5,151,140,188,"5,779","5,284","7,702",7,12,-,2,10,8,19,12,22,-,-,2,21,11,69,64,63,70,3,3,5,4,-,1,29,26,7,2,3,10,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,:.,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,166,169,182,"3,620","3,859","4,332",10,16,10,2,-,1,2,-,1,3,11,14,74,86,67,18,27,25,15,7,10,9,2,10,20,3,16,13,17,42,17
