Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,Digease,,,B.C.,,
No.,DISEASE,,,,,Cumulative Total,,,,,,,,,,,,,,,,,,,,,,,Report,legereal Week,,,A,,Weeke,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median,,Previous,,Report Week,Week,1963-57 Median,Report,Previous Week,Median 1 953-57,
1,Chickenpox,486,631,586,"18,588","25,548","25,548",*,.,:,:,:,:,-,19,29,:,:.,:.,41,51,61,246,371,312,45,35,29,,,:,9,:.,:,145,155,134,1
2,Diphtheria,-,3,1,29,68,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,2
3,Dysentery:4,8,12,16,262,829,616,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,1,-,1,2,-,-,-,-,4,9,8,3
4,(a) Amoebic,-,-,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,8,12,16,257,829,610,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,1,-,1,2,-,-,-,-,4,9,02,5
6,Encephalitis, infectious,-,1,1,11,11,11,-,-,-,:.,..,:.,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,254,49,43,"4,270","2,788","7,895",:.,:.,:,52,41,13,150,7,31,1,:,:.,-,-,-,-,-,1,1,1,1,-,-,-,:,..,:,50,-,-,7
8,Measles,869,"1,056",896,"20,405","42,433","40,340",-,-,2,:,:,:.,-,62,23,:,..,..,105,191,194,610,628,388,55,47,19,:.,:.,:,35,44,-,64,84,124,8
9,Meningitis, meningococcal,8,4,4,157,167,167,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,1,:.,:.,-,-,1,9
10,Mumps,179,246,378,"8,664","18,373","19,423",.....,..,:.,:.,:.,:.,-,13,13,:.,...,:.,11,58,84,112,117,193,27,21,18,:.,:.,:,5,:,:.,24,37,56,10
11,Poliomyelitis, epidemic:4,3,1,14,38,50,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,1,2,-,-,1,11
12,(a) With paralysis,3,1,9,32,32,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,1,1,-,-,1,12
13,(b) Without paralysis,-,-,5,6,16,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,225,420,205,"6,128","14,794","14,794",-,-,-,:.,:,:,:.,:.,:.,:.,:.,:.,7,13,15,169,301,62,3,47,-,:.,:.,:.,33,35,27,13,24,32,14
15,Scarlet fever, etc. 5,108,119,172,"6,006","5,477","8,044",8,5,1,10,3,1,-,13,29,-,-,1,5,15,26,61,48,54,5,3,4,-,1,5,16,30,12,3,1,14,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:,:,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,-,-,-,-,16
