Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,,,18,Disease,,
No.,DISEASE,Report Week,Previous Week,Median 1953-57,1958,Cumulative 1957,Total³ Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1958-57,Report Week,Week,Median,Week Report,Week,Median 1153-57,No.
1,Chickenpox,134,192,196,"19,894","26,687","26,687",:,:.,:.,.,..,.,12,9,11,:.,:.,:.,12,29,26,61,101,63,17,11,13,:,:,:.,,,,32,42,29,1
2,Diphtheria,1,1,1,33,80,63,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,2
3,Dysentery:4,28,39,15,371,859,696,-,-,-,3,-,-,-,-,-,-,-,-,8,3,-,1,1,2,1,23,-,-,-,-,-,1,-,15,11,7,3
4,(a) Amoebic,2,-,-,8,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,4
5,(b) Bacillary,26,39,15,363,857,684,-,-,-,3,-,-,-,-,-,-,-,-,8,3,-,1,1,2,1,23,-,-,-,-,-,1,-,13,11,7,5
6,Encephalitis, infectious,-,-,1,12,14,14,-,-,-,....,...,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I -,-,-,-,6
7,Influenza, epidemic,82,57,73,"5,086","3,048","8,466",...,...,...,29,18,15,44,39,15,....,9.8,R.P.,-,-,-,-,-,2,1,-,-,-,-,-,...,.....,:.,8,-,-,7
8,Measles,267,346,316,"23,117","44,559","42,790",*,-,-,....,9,...,28,13,13,a..,9.9,....,59,50,59,151,209,95,13,13,10,....,9.2.,....,-,43,42,16,9,60,8
9,Meningitis, meningococcal,7,7,6,182,189,188,3,-,-,-,-,-,-,-,-,1,1,-,-,1,2,2,3,-,-,1,-,-,-,-,:.,1,:,1,-,-,9
10,Mumps,64,66,150,"9,229","19,160","20,317",9.8,R.9.,...,R.P.,...,S.P.,10,17,7,a.e,9.8,R.P.,8,7,20,30,23,65,11,8,7,R.P.,9.9.,R.9.,9.8,....,...,5,11,23,10
