Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,,,,B.C.,,
No.,DISEASE,Report Week,Previous Week,,,Cumulative,Total3,,,,,,,,,,,,,,,,,,,,,,,,,,,-8961,,,1953-57,No.
,,,,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,,Median 1953-57,Report Week,Previous Week,Median,Report Week,Previous Week,Mediam,
1,Chickenpox,263,132,133,"20,155","26,784","26,784",:.,:.,..,:.,,:.,1,12,7,:.,,:,158,12,24,57,61,46,19,17,10,:,: .,,:,:,:,28,32,22,1
2,Diphtheria,-,1,11,33,81,66,-,-,1,-,-,-,-,-,1 -,L,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
3,Dysentery:4,17,29,21,389,875,717,-,-,-,1,3,-,-,-,-,-,-,-,3,8,2,1,1,2,4,1,-,-,-,-,-,1,-,8,15,14,2 3
4,(a) Amoebic,-,2,-,8,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,
5,(b) Bacillary,17,27,21,381,873,705,-,-,-,1,3,-,-,-,-,-,-,-,3,8,2,1,1,2,4,1,-,-,-,-,-,1,-,8,13,14,4 5
6,Encephalitis, infectious,-,-,1,12,17,17,-,-,-,....,R.R,....,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,41,81,67,"5,126","3,240","8,550",9.8,,R.P.,28,29,25,-,43,14,P.S.,A.P.,....,-,-,-,-,-,2,-,1,-,-,-,-,....,...,R.P.,13,8,-,7
8,Measles,310,293,259,"23,453","44,780","43,078",*,-,-,9,R.A,P...,6,31,12,...,A.P.,....,50,59,61,190,151,66,27,13,8,P..,9.2,P...,18,23,53,10,16,37,8
9,Meningitis, meningococcal,6,7,4,188,200,195,2,3,-,-,-,-,-,-,-,-,1,-,-,-,-,3,2,1,1,-,-,-,-,1,A.R.,...R,A.P.,-,1,,9
10,Mumps,93,64,162,"9,322","19,326","20,448",,,,,,,2,10,2,,,,27,8,24,43,30,67,2,11,8,,,,A.A,...,,19,5,29,10
11,Poliomyelitis, epidemic:4,7,2,51,54,106,372,-,-,1,-,-,-,-,-,2,-,-,2,-,1,5,-,-,15,5,1,2,-,-,5,2,-,9,-,-,5,11
12,(a) With paralysis,7,2,23,46,64,206,-,-,1,-,-,-,-,-,-,-,-,-,-,1,3,-,-,6,5,1,-,-,-,1,2,-,1,-,-,1,12
13,(b) Without paralysis,-,-,22,8,40,143,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,10,-,-,2,-,-,1,-,-,4,-,-,2,13
14,Rubella,30,33,60,"6,490","15,412","15,412",-,-,-,9.9,R.R.,....,...,3,R.P.,9.9,R.P.,9...,2,5,2,16,6,22,1,-,-,...,:.,:,7,15,12,4,4,7,14
15,Scarlet fever, etc. 5,55,58,81,"6,504","5,932","8,659",1,2,2,11,14,8,8,11,16,-,1,-,7,10,13,16,11,16,-,1,2,2,-,-,4,2,5,6,6,4,15
16,Smallpox,-,-,-,-,-,-,-,-,-,9.9,A.A,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",95,174,166,"4,656","4,944","6,041",2,9,6,-,-,2,-,-,1,12,27,13,36,82,52,14,11,17,11,10,10,2,16,11,7,1,17,11,18,23,17
18,(a) Pulmonary,78,149,134,"3,638","3,780","4,932",2,9,5,-,-,1,-,-,1,12,21,11,34,81,51,(7),(7),(7),10,9,10,2,14,9,7,1,16,11,14,21,18
19,(b) Non-pulmonary,3,14,7,345,329,330,-,-,-,-,-,1,-,-,-,-,6,-,2,1,1,(7),(7),(7),1,1,-,-,2,2,-,-,1,-,4,2,19
20,Typhoid and paratyphoid,7,6,6,174,170,258,-,-,-,-,-,-,-,-,-,1,-,-,2,5,5,3,-,1,-,-,-,-,-,-,-,-,-,1,1,-,20
