Table: Table_1
,,,,,CANADA²,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK,,,NOV,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,Previous Week,,Report,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,Report,Previous Week,Median 1953-57,
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,,Median 1953-57,Week,,Median 1953-57,,,Median,,,Median 1953-57,,,Median,,,,,,,,,,,,,,,,
1,Chickenpox,341,168,409,"21,570","28,222","28,746",:.,:.,:,:.,:.,:,48,4,11,:.,:.,:,73,34,147,138,80,139,10,7,13,:.,:.,,,:.,:,72,43,68,1
2,Diphtheria,-,-,6,48,121,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,31,37,9,845,"1,028",863,-,-,-,-,-,-,-,1,-,-,-,-,3,3,2,8,10,-,1,-,1,1,1,-,1,13,-,17,9,2,3
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,31,37,9,835,"1,023",835,-,-,-,-,-,-,-,1,-,-,-,-,3,3,-,8,10,-,1,-,1,1,1,-,1,13,-,17,9,2,5
6,Encephalitis, infectious,-,-,1,23,28,35,-,-,-,.....,....,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,114,66,73,"6,066","118,898","9,818",,...,...,30,33,19,74,18,50,...,...,...,-,-,-,-,-,3,8,2,2,-,-,-,:,.1,:,2,13,-,7
8,Measles,496,491,530,"26,844","46,696","46,696",*,-,-,::,:..,..,35,51,19,:.,.....,...,49,33,93,272,300,58,7,35,18,:,:.,..,41,28,69,92,44,64,8
,Meningitis, meningococcal,3,5,7,241,283,254,-,1,-,-,-,-,1,-,-,-,-,1,2,-,1,-,2,2,-,1,1,-,-,-,...,:.,...,-,1,1,9
9 10,Mumps,178,156,297,"10,402","20,423","22,361",....,..,9.3,R.P.,....,P.R.,14,5.,12,9.8,R.f.,..A,53,23,88,92,91,126,5,5,12,...,P...,...,....,...,....,14,32,29,10
,Poliomyelitis, epidemic:4,10,20,33,257,254,919,-,-,-,-,-,-,-,-,2,-,2,2,4,4,7,-,-,5,6,12,2,-,-,4,-,2,4,-,-,9,11
11 12,(a) With paralysis,8,14,19,197,160,480,-,-,-,-,-,-,-,-,1,-,2,-,4,4,5.,-,-,3,4,7,1,-,-,2,-,1,2,-,-,5,12
,Without paralysis,2,6,11,60,88,352,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,2,2,5,-,-,-,1,-,1,1,-,-,Wt,13
13,(b) Rubella,53,44,43,"6,987","16,020","16,020",-,-,-,:.,:.,..,:.,...,:.,...,....,..,1,3,6,25,19,13,2,-,-,:,,:.,12,11,11,13,11,4,14
14 15,Scarlet fever, etc. 5,218,229,146,"7,866","7,258","9,926",24,26,3,4,-,4,46,22,26,-,-,2,10,16,33,43,49,47,33,69,6,-,1,2,19,18,11,39,28,17,15
16,Smallpox,-,-,-,-,-,-,-,-,-,..,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",158,93,204,"6,090","6,623","8,112",2,6,5,-,1,-,-,2,2,10,11,14,74,28,84,30,12,16,6,5,13,17,7,8,2,17,14,17,4,30,17
18,(a) Pulmonary,123,75,176,"4,767","5,122","6,696",2,6,5,-,1,-,-,2,2,10,11,14,74,27,81,(7),(7),(7),6,4,13,17,7,8,2,14,14,12,3,27,18
19,(b) Non-pulmonary,5,6,11,447,427,455,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,(7),(7),(7),-,1,-,-,-,1,-,3,-,5,1,3,19
20,Typhoid and paratyphoid,4,4,11,267,245,371,1,-,-,-,-,-,-,-,-,-,-,-,2,2,6,-,-,1,-,-,-,-,-,-,-,2,2,1,-,1,20
21,Undulant fever,-,2,3,85,113,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,1,-,-,-,-,...,..,:,-,-,-,21
22,Venereal diseases:,392,302,369,"13,772","13,652","13,890",11,8,7,1,-,1,5,8,15,15,11,4,69,70,71,51,61,59,98,14,25,33,31,36,60,41,65,49,58,70,22
23,(a) Syphilis, primary,4,7,3,89,124,124,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,3,1,-,1,-,-,-,1,-,-,1,-,-,1,1,23
24,(b) " secondary,1,2,1,60,37,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,24
25," other,30,23,37,"1,487","1,720","1,904",-,-,-,-,-,-,-,-,2,1,3,-,17,9,15,6,.7,8,1,-,-,1,2,-,3,1,1,1,1,4,25
26,(c) (d) Gonorrhoea,357,270,317,"12,130","11,759","11,955",11,8,7,1,-,1,5,6,15,14,8,3,52,60,46,42,52,52,96,14,24,32,28,36,56,39,62,48,55,65,26
27,(e) Other venereal,-,-,-,6,12,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,diseases⁸ Whooping cough,178,133,234,"5,571","6,304","7,547",-,-,-,20,11,3,-,2,6,-,-,1,36,27,78,87,43,60,-,2,11,-,3,5,7,23,23,28,22,9,28
