Table: Table_1
,,,,,CANADA²,,9,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,Report Week,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,,,Median 1953-57,(9),(9),Median,,,,,,,,,,,,Median,,,Median 1 953-57,
,,358,331,617,"22,610","29,070","30,944",:.,:.,:,6,9,:,11,24,31,:.,:.,:.,-,-,183,162,141,269,30,26,36,:.,:.,:.,:,:,:.,149,131,102,1
1,Chickenpox,-,1,5,55,126,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
2,Diphtheria,24,29,11,945,"1,043",920,-,-,-,-,2,-,3,-,-,-,-,-,-,-,2,10,9,-,-,1,-,-,3,-,2,2,-,9,12,3,3
3,Dysentery:4,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
4,(a) Amoebic Bacillary,24,29,11,935,"1,038",890,-,-,-,-,2,-,3,-,-,-,-,-,-,-,2,10,9,-,-,1,-,-,3,-,2,2,-,9,12,3,5
5,(b) infectious,-,-,-,24,29,38,-,-,-,:.,:,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
6,Encephalitis, epidemic,96,173,73,"6,495","239,648","10,171",*,...,.....,47,106,26,39,56,40,::,2,...,-,-,-,1,-,2,1,-,2,-,-,-,..,..,..,to,9,-,7
7,Influenza, Measles,873,666,564,"29,378","47,224","47,224",-,-,2,...,..,..,82,53,35,...,.....,...,-,-,87,513,442,140,23,28,33,:.,..,..,177,62,39,78,81,63,8
8,,1,8,6,257,297,265,1,4,1,-,1,-,-,-,-,-,1,1,-,-,1,-,2,-,-,-,-,-,-,1,...,..,...,-,-,1,9
9,Meningitis, meningococcal,204,183,370,"10,955","20,888","23,645",....,...,....,9.8,6,P.R.,15,4,32,...,...,9.9,-,-,78,142,103,131,6,20,6,...,...,:,...,...,...,41,50,59,10
10,Mumps,3,2,16,277,263,967,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,1,1,1,1,1,-,-,1,1,-,6,-,-,5,11
11,Poliomyelitis, epidemic:4,3,1,12,212,167,517,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,1,1,-,1,-,-,4,12
12,(a) With paralysis,-,1,6,65,90,362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,1,13
13,(b) Without paralysis,77,40,49,"7,161","16,116","16,116",-,-,-,9.8,R.P.,9.8,3,1,R.9.,P.A.,R.9.,.A,-,-,5,33,18,18,2,1,-,9.9,R.P.,...,16,14,9,23,6,12,14
14,Rubella ** etc.5,314,267,184,"8,705","7,609","10,445",19,9,3,7,6,8,55,24,17,4,9,-,-,-,40,54,72,37,50,72,9,45,3,3,15,23,14,65,49,17,15
15,Scarlet fever,,-,-,-,-,-,-,-,-,-,.A,R.P.,9.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
16,Smallpox "4,6",98,72,157,"6,358","7,097","8,646",9.,2,3,1,-,-,-,-,1,26,21,8,-,-,65,24,14,19,9,19,10,4,-,7,15,1,18,10,15,21,17
17,Tuberculosis: Pulmonary,68,51,131,"4,963","5,483","7,128",9,2,3,1,-,-,-,-,1,26,19,8,-,-,64,(7),(7),(7),8,18,9,4,-,5,13,1,15,7,11,19,18
18,(a),6,7,12,465,454,484,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,(7),(7),(7),1,1,-,-,-,1,2,-,-,3,4,2,19
19,(b) Non-pulmonary,2,2,7,274,258,406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,1,1,-,-,-,-,-,-,-,-,-,1,1,1,20
20,Typhoid and paratyphoid,1,1,3,91,116,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,-,:,:,:.,-,1,-,21
21,Undulant fever,286,332,318,"14,750","14,581","14,818",7,3,9,-,-,-,10,8,9,10,8,1,-,81,84,54,47,51,46,25,23,44,33,24,63,51,48,52,76,62,22
22,Venereal diseases:,3,7,2,102,135,135,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2,-,D,4,-,1,-,-,23
23,(a) Syphilis, primary ",2,2,1,70,42,46,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,-,-,,1,-,-,-,-,24
24,(b) secondary " other,25,42,43,"1,599","1,836","2,021",-,-,2,-,-,-,4,1,1,2,2,-,-,21,20,8,8,7,2,1,1,1,3,1,3,1,3,5,5,5,23
25,(c) Gonorrhoea,256,281,259,"12,973","12,556","12,928",7,3,7,-,-,-,6,7,6,8,6,1,-,58,61,46,39,41,44,24,22,42,28,22,57,45,45,46,71,57,26
26 27,(d) (e) Other venereal,-,-,-,6,12,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,27
28,diseases⁸ Whooping cough,131,142,211,"6,005","6,688","8,245",-,2,-,15,23,2,2,-,12,1,-,1,-,-,64,77,64,52,-,-,7,-,6,4,18,,,18,,15,28
