Table: Table_1
,,,,,CANADA²,,9,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASKI,,,,,,,,
No.,DISEASE,,,,,Cumulative Total,,Report Week,Previous Week,1953-57,Report,Previous Week,,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-AT,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1 953-570,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,,,Median,Week,,Median 1953-57,,,Median,,,Median,(9),(9),,,,,,,,,,,Report,,,,,,
,Chickenpox,487,394,896,"23,491","29,882","32,861",...,..,..,...,7,:,54,2,29,...,..,:.,-,-,262,251,251,399,35,40,46,::,:,:.,,,..,147,94,132,1
1 2,Diphtheria,4,1,5,60,134,124,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,-,,-,-,-,-,2
3,Dysentery:4,55,33,11,"1,033","1,058",947,-,-,-,2,-,-,-,-,-,5,1,-,-,-,1,8,8,3,24,3,1,-,-,-,-,-,-,16,21,2,3
4,Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(a) (b) Bacillary,55,33,11,"1,023","1,053",917,-,-,-,2,-,-,-,-,-,5,1,-,-,-,1,8,8,3,24,3,1,-,-,-,-,-,-,16,21,2,5
6,Encephalitis, infectious,-,1,-,25,30,41,-,-,-,:.,:.,:.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6
7,Influenza, epidemic,116,103,121,"6,713","252,061","10,630",:.,:.,..,66,88,16,44,-,93,1,2,..,-,-,-,-,1,4,2,12,3,-,-,-,:,100,:.,3,-,-,7
8,Measles,867,849,857,"31,096","47,876","48,932",-,-,4,.....,...,..,75,22,34,.....,....,...,-,-,122,615,698,198,8,34,35,..,:,..,55,39,68,114,56,102,8
,Meningitis, meningococcal,5,4,5,266,308,273,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,....,...,...,1,1,2,9
9 10,Mumps,265,219,557,"11,439","21,373","21,844",...,A.P.,9.A.,R.P.,6,R.R.,62,-,60,R.P.,P...,9.8,-,-,108,151,151,123,8,34,15,...,P...,...,....,...,....,44,28,104,10
,Poliomyelitis, epidemic:4,5,1,12,283,266,988,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,1,-,1,4,1,1,-,-,1,-,-,2,-,-,3,11
11,With paralysis,4,1,9,218,167,528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,1,-,-,-,-,-,-,-,-,-,2,12
12,(a) Without paralysis,1,-,4,65,93,370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,-,1,-,-,1,13
13,(b) Rubella,50,69,55,"7,280","16,245","16,245",-,-,-,....,...,...,..,...,...,....,...,...,-,-,10,25,39,21,3,4,1,...,.....,..,15,13,16,7,13,13,14
14 15,Scarlet fever, etc.,325,289,206,"9,319","7,882","10,917",21,12,4,13,4,9,42,3,32,-,1,1,-,-,53,58,64,38,57,89,10,1,16,3,33,9,21,100,91,14,15
,,-,-,-,-,-,-,-,-,-,R.P.,...,R.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
