Table: Table_1
,,,,,CANADA2,(9),,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report Week,Previous,1953-57,Report,Previous,,Report Week,Previous Week,,Report Week,Previous Week,1953-57,Report Week,revious Week,1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,1 953-57,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,,Week,Median,Week,Week,Median 1953-57,,,Median 1953-57,,,Median,(9),(9),Median,,,,,,,,,,,,,,,Median,
1,Chickenpox,534,498,881,"24,036","30,540","33,742",:.,:.,:,4,:.,:.,6,65,56,:,:.,:.,-,-,255,269,251,315,33,35,52,:.,:.,:.,:.,:,:,222,147,154,1
2,Diphtheria,-,4,7,61,137,131,-,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,2
3,Dysentery:4,14,55,13,"1,047","1,075",960,-,-,-,-,2,-,-,-,-,-,5,-,-,-,1,11,8,1,-,24,-,-,-,3,-,-,1,3,16,6,3
4,(a) Amoebic,-,-,-,9,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,14,55,11,"1,037","1,070",928,-,-,-,-,2,-,-,-,-,-,5,-,-,-,1,11,8,1,-,24,-,-,-,3,-,-,1,3,16,6,5
6,Encephalitis, infectious,1,-,-,26,30,41,-,-,-,..,:,:.,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,-,-,6
7,Influenza, epidemic,112,138,96,"6,847","252,892","10,726",..,:.,:.,63,66,50,46,66,45,...,1,..,-,-,-,2,-,1,-,2,1,-,-,-,:.,:,:.,1,3,-,7
8,Measles,965,969,887,"32,161","48,284","50,033",-,-,3,:.,....,..,55,177,47,..,...,...,-,-,131,689,615,196,14,8,31,:,:.,..,62,55,93,145,114,76,8
9,Meningitis, meningococcal,2,6,4,269,312,280,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,1,-,1,-,-,-,-,...,..,..,-,1,1,9
10,Mumps,202,266,603,"11,642","21,716","25,583",P...,...,9.9,3,....,9.2.,-,63,18,...,R.P.,9.8,-,-,110,137,151,211,25,8,14,...,...,...,....,...,...,37,44,95,10
11,Poliomyelitis, epidemic:4,3,5.,9,286,267,999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,4,-,1,-,-,-,-,1,2,-,,11
12,(a) With paralysis,2,4,4,220,168,536,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,3,-,-,-,-,-,-,-,2,-,1,12
13,(b) Without paralysis,1,1,4,66,93,372,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,13
14,Rubella,88,52,105,"7,408","16,364","16,364",-,-,-,...,R...,..A,....,...,...,9.A,R.9.,9.8,-,-,2,45,25,20,8,5,-,...,...,....,27,15,21,8,7,24,14
15,Scarlet fever, etc.5,475,374,200,"9,843","8,070","11,090",13,21,4,19,13,12,107,91,9,-,-,1,-,-,46,61,58,54,57,57,10,64,1,9,27,33,16,127,100,22,15
16,Smallpox,-,-,-,-,-,-,-,-,-,R.A.,R.P.,P.R.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:4,6,73,86,159,"6,608","7,576","9,226",6,2,7,-,1,2,1,-,-,13,14,2,-,-,59,19,19,25,6,12,18,5,17,4,5,6,16,18,15,23,17
18,(a) Pulmonary,49,62,120,"5,137","5,834","7,613",6,2,7,-,1,2,1,-,-,12,13,2,-,-,58,(7),(7),(7),6,9,16,4,17,4,4,6,16,16,14,22,18
19,(b) Non-pulmonary,5,5,7,482,480,513,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,(7),(7),(7),-,3,-,1,-,-,1,-,-,2,1,2,19
20,Typhoid and paratyphoid,3,2,6,279,266,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,1,1,-,-,1,-,2,-,-,20
