Table: Table_1
,,,,,CANADA,(9) (10),,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,,,,,,,,,,,,,,Previous,,,,,,,,,,,,Previous,,,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Week (9),Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (10),Week,Median 1953-57,Report Week (10),Previous Week,Median 1953-57,
1,Chickenpox,232,522,903,"24,801","31,529","35,611",..,,:.,14,7,:,12,39,35,:.,..,:.,-,-,255,183,260,231,23,12,42,:,:.,:.,::,:.,...,-,204,179,
2,Diphtheria,-,1,2,62,139,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
3,Dysentery:4,16,22,13,-1,085,"1,103","1,028",-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,12,2,14,-,-,-,* -,-2,-,-,-,-,10,-,2 3
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
5,(b) Bacillary,16,22,13,"1,075","1,097",996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,12,2,14,-,-,-,-,2,-,-,-,-,10,-,4 5
6,Encephalitis, infectious,2,-,-,27,32,41,1,-,-,:.,: .,:,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,83,103,106,"7,060","253,979","10,964",:.,:,:.,44,79,35,38,8,70,..,1,...,-,-,-,-,-,2,1,8,1,-,-,-,:,:,:.,-,7,-,7
8,Measles,602,753,987,"33,519","48,899","52,685",-,-,3,...,...,...,12,13,47,...,....,9.9,-,-,228,569,399,124,21,11,17,P.R.,R.A.,9.9,-,107,82,-,223,61,8
9,Meningitis, meningococcal,4,3,5,278,324,294,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,1,-,-,...,...,.....,-,-,-,
10,Mumps,267,243,607,"12,157","22,208","26,616",....,9.2,....,...,14,9.9,3,-,22,...,...,9.9,-,-,152,135,169,208,129,12,23,....,...,...,...,...,....,-,48,74,9 10
11,Poliomyelitis, epidemic:4,-,2,9,287,271,"1,011",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,1,-,-,-,2,
12,(a) With paralysis,-,2,6,221,171,544,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,11 12
13,(b) Without paralysis,-,-,1,66,94,374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13
14,Rubella,42,81,115,"7,531","16,563","16,563",-,-,-,R.P.,P...,9.2,3,11,...,9.8,R.9.,9.8,-,-,16,38,26,18,1,5,-,...,R.P.,P...,-,25,31,-,14,15,14
15,Scarlet fever, etc.⁵,155,333,180,"10,340","8,509","11,394",11,5,3,7,10,6,-,12,12,-,-,1,-,-,59,37,45,50,79,55,6,21,39,7,-,55,14,-,112,20,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:.,:.,:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,
17,Tuberculosis: "4,6",59,60,170,"6,720","7,858","9,645",-,1,10,2,-,1,-,-,1,8,11,3,-,-,79,16,16,13,16,6,15,17,-,5,-,17,22,-,9,28,16 17
18,(a) Pulmonary,33,38,158,"5,202","6,061","7,968",-,1,10,1,-,1,-,-,1,8,9,3,-,-,78,(7),(7),(7),12,6,15,12,-,4,-,13,22,-,9,27,18
19,(b) Non-pulmonary,10,6,10,497,498,543,-,-,-,1,-,-,-,-,-,-,2,-,-,-,4,(7),(7),(7),4,-,-,5,-,1,-,4,-,-,-,1,19
20,Typhoid and paratyphoid,-,-,5,279,278,451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,-,1,-,95,118,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,....,...,...,-,-,-,21
22,Venereal diseases:,172,206,311,"16,081","16,142","16,432",6,6,7,-,-,-,3,8,7,5,4,3,51,47,72,61,55,48,12,14,25,3L,20,29,-,52,50,-,(10),42,22
23,(a) Syphilis, primary,-,-,1,112,1/2,142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23
24,(b) " secondary,1,2,1,81,46,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,22,37,29,"1,778","1,995","2,199",-,-,-,-,-,-,-,1,1,-,1,1,12,11,12,,16,4,1,2,2,-,-,2,-,6,1,-,-,2,25
26,(d) Gonorrhoea,149,167,273,"14,103","13,947","14,359",6,6,7,-,-,-,3,7,5,5,3,3,39,36,57,51,38,43,11,11,23,34,20,27,,,46,47,-,-,41,26
27,(e) Other venereal diseases⁸,-,-,1,7,12,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,47,113,154,"6,487","7,388","9,277",-,-,-,7,7,3,-,-,1,-,,,,,,140,84,33,-,5,3,-,-,7,-,8,7,-,9,12,28
