Table: Table_1
,,,,,CANADA2,(9) (10),,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
No.,DISEASE,,,,,Cumulative,Total³,Report,,,,,,,,,,,,,,,Report,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,1953-57,Report Week,Previous Week,,Report,,,No.
,,Report Week,Previous Week,Median 1953-57,1958,1957,Median 1953-57,Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week,Previous Week,Median 1953-57,Report Week (9),Previous Week (9),Median 1953-57,Week,,Median,,,Median,,,Median,(10),,Median 1953-57,Week (10),Previous Week,Median 1 953-57,
1,Chickenpox,265,364,856,"25,198","31,973","36,469",:.,:,:,:,14,:,21,19,4,:,:,:.,-,-,197,228,183,420,16,23,25,:.,:,:,:.,:,:.,-,125,91,1
2,Diphtheria,-,1,8,63,142,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2
3,Dysentery:4,4,23,6,"1,115","1,111","1,042",-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,4,,-,14,C-,-,-,-,-,-,-,-,5,1,3
4,(a) Amoebic,-,-,-,9,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,4,23,6,"1,105","1,105","1,010",-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,2,4,-,-,14,-,-,-,-,-,-,-,-,5,1,5
6,Encephalitis, infectious,-,1,-,27,32,42,-,1,-,...,9.9,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
7,Influenza, epidemic,83,112,51,"7,172","254,237","11,117",9.9,...,...,76,44,40,4,57,14,1,P.R,R.O.,-,-,-,-,-,1,2,1,3,-,-,-,9.8,JR.R,9...,-,10,-,7
8,Measles,611,835,773,"34,363","49,226","53,938",*,-,L,P...,...,R.P.,35,12,31,a.e.,9.8,A.R.,-,-,170,567,569,267,9,21,42,R.A,a.e.,..A,-,84,54,-,149,69,8
9,Meningitis, meningococcal,1,6,6,281,331,301,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,2,-,-,1,-,....,R.P.,9.9,-,-,1,9
10,Mumps,115,308,525,"12,313","22,385","26,908",P.R,R.9.,s.e.,R.O.,...,...,1,8,14,R.9.,....,A.O.,-,-,116,97,135,227,17,129,33,A.A,a.e.,..a,...,A.R.,9.9,-,36,54,10
11,Poliomyelitis, epidemic:4,-,3,3,290,272,"1,020",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,3,2,11
12,(a) With paralysis,-,3,2,224,172,551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,12
13,(b) Without paralysis,-,-,1,66,94,375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
14,Rubella,29,84,101,"7,602","16,614","16,614",-,-,-,....,...,...,...,3,...,R...,9.A,R.9.,-,-,8,29,38,35,-,1,-,R.P.,9.9,R.P.,-,20,13,-,22,8,14
15,Scarlet fever, etc.⁵,127,372,179,"10,684","8,683","11,526",5,11,4,17,7,11,-,11,23,1,-,2,-,-,37,44,37,68,58,79,3,2,21,4,-,48,10,-,158,7,15
16,Smallpox,-,-,-,-,-,-,-,-,-,P...,...,A.P.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis: "4,6",17,62,141,"6,751","7,966","10,177",3,-,1,1,2,1,-,-,-,1,to,6,-,-,45,3,16,16,8,16,12,1,17,4,-,3,12,-,-,20,17
18,(a) Pulmonary,12,36,116,"5,227",6,1/3,"8,073",3,-,1,-,1,1,-,-,-,1,8,6,-,-,43,(7),(7),(7),8,12,11,-,12,3,-,3,11,-,-,19,18
19,(b) Non-pulmonary,2,10,9,500,508,553,-,-,-,1,1,-,-,-,-,-,-,-,-,-,2,(7),(7),(7),-,4,1,1,5,1,-,-,-,-,-,2,19
20,Typhoid and paratyphoid,-,-,2,279,279,455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,20
21,Undulant fever,1,-,3,96,120,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,9.A,R.P.,P...,-,-,-,21
22,Venereal diseases:,122,288,254,"16,411","16,397","16,647",6,6,6,-,-,-,3,3,5,16,5,1,16,51,40,36,61,41,16,12,27,29,34,19,-,41,40,-,75,43,22
23,(a) Syphilis, primary,2,-,2,114,142,1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,23
24,(b) secondary,-,2,-,82,46,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,24
25,(c) " other,16,31,25,"1,804","2,020","2,218",-,-,-,-,-,-,-,-,1,3,-,-,6,12,8,6,9,8,1,1,1,-,-,2,-,2,2,-,7,2,25
26,(d) Gonorrhoea,104,255,221,"14,404","14,177","14,506",6,6,6,-,-,-,3,3,5,13,5,-,10,39,33,28,51,33,15,11,26,29,34,17,-,38,36,-,68,42,26
27,(e) Other venereal diseases⁸,-,-,-,7,12,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,33,70,109,"6,543","7,459","9,387",1,-,-,-,7,1,-,-,5,-,-,-,-,-,49,32,40,31,-,-,2,-,-,6,-,14,4,-,9,12,28
