NFLD.
Report Rec’d │ Previous Week │ Median (1951–55)
---│---│---
6 | 5 | 4
– | – | –
– | – | –
– | – | –
10 | 49 | 10
– | – | 3
– | 5 | 1
3 | 4 | 5
3 | 4 | 4
2 | – | –
1 | – | –
9 | 20 | 9
– | – | –
4 | 1 | 1
5 | 19 | 6
– | – | –
– | – | –
1 | 27 | –

P.E.I.
Report Rec’d │ Previous Week │ Median (1951–55)
---│---│---
– | – | 6
– | – | –
– | – | –
– | – | –
13 | 20 | –
– | – | –
15 | 14 | 5
– | – | –
1 | 1 | 1
– | – | –
– | – | –
2 | – | –
– | – | –
2 | – | –
– | – | –
– | – | –
14 | 16 | –
3 | 1 | 6
– | – | –

N.S.
Report Rec’d │ Previous Week │ Median (1951–55)
---│---│---
54 | 65 | 52
– | – | –
– | – | –
– | – | –
104 | 73 | 65
102 | 87 | 70
– | – | –
11 | 1 | 29
– | – | –
36 | 46 | 10
35 | 10 | 2
– | – | –
3 | 3 | 3
3 | 3 | 3
– | – | –
17 | 5 | 14
– | – | –
3 | 1 | 4
14 | 4 | 7
– | – | –
3 | 1 | 6
