| Row | NFLD. Report | NFLD. Prev | NFLD. Median | P.E.I. Report | P.E.I. Prev | P.E.I. Median |  N.S. Report |  N.S. Prev |  N.S. Median | N.B. Report | N.B. Prev | N.B. Median |
|-----|--------------|------------|--------------|---------------|-------------|---------------|--------------|------------|--------------|-------------|-----------|-------------|
|  1  |      6       |     5      |      4       |       –       |      –      |       6       |      54      |     65     |      52      |      1      |     –     |      1      |
|  2  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
|  3  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
|  4  |     10       |    49      |     10       |       6       |     85      |       –       |     104      |     73     |      65      |      –      |     –     |      2      |
|  5  |      –       |     –      |      –       |      13       |     20      |       –       |     102      |     87     |      70      |      2      |     –     |      1      |
|  6  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      2      |
|  7  |      –       |     5      |      –       |      15       |     14      |       5       |      11      |     1      |      29      |      –      |     –     |      –      |
|  8  |      1       |     6      |      3       |       –       |      –      |       –       |      36      |     46     |      10      |      2      |     1     |      1      |
|  9  |      –       |     –      |      –       |      11       |      4      |       7       |      35      |     10     |       2      |      –      |     –     |      1      |
| 10  |      3       |     4      |      5       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
| 11  |      3       |     4      |      4       |       1       |      1      |       1       |       3      |      3     |       3      |      2      |     2     |      6      |
| 12  |      –       |     –      |      –       |       –       |      1      |       1       |       3      |      3     |       3      |      2      |     2     |      6      |
| 13  |      –       |     –      |      –       |       1       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
| 14  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      1      |
| 15  |      9       |    20      |      9       |       2       |      –      |       –       |      17      |      5     |      14      |      2      |     4     |      7      |
| 16  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
| 17  |      4       |     1      |      1       |       –       |      –      |       –       |       3      |      1     |       4      |      1      |     1     |      3      |
| 18  |      5       |    19      |      6       |       2       |      –      |       –       |      14      |      4     |       7      |      1      |     3     |      3      |
| 19  |      –       |     –      |      –       |       –       |      –      |       –       |      –       |     –      |      –       |      –      |     –     |      –      |
| 20  |      1       |    27      |      –       |      14       |     16      |       –       |       3      |      1     |       6      |      2      |     –     |      2      |
