| NFLD. Report | NFLD. Prev | NFLD. Median | P.E.I. Report | P.E.I. Prev | P.E.I. Median | N.S. Report | N.S. Prev | N.S. Median | N.B. Report | N.B. Prev | N.B. Median | QUE. Report | QUE. Prev | QUE. Median |
| -----------: | ---------: | -----------: | ------------: | ----------: | ------------: | ----------: | --------: | ----------: | ----------: | --------: | ----------: | ----------: | --------: | ----------: |
|            6 |          5 |            4 |             – |           – |             6 |          54 |        65 |          52 |           1 |         – |           – |         436 |       329 |         221 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           1 |         2 |           1 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           – |         – |           1 |
|            – |          – |            – |             6 |          85 |             – |         104 |        73 |          65 |           – |         – |           1 |           – |         – |           6 |
|           10 |         49 |           10 |            13 |          20 |             – |         102 |        87 |          70 |           2 |         1 |           – |         446 |       386 |         235 |
|            – |          – |            – |             3 |          15 |            14 |           5 |        11 |           1 |           – |         2 |           2 |         283 |       136 |         164 |
|            – |          – |            – |             – |           – |             – |          36 |        46 |          10 |           – |         – |           – |         832 |       851 |          20 |
|            1 |          6 |            3 |            11 |           4 |             7 |          35 |        10 |           2 |           1 |         1 |           1 |          62 |        88 |          84 |
|            3 |          4 |            5 |             1 |           1 |             1 |           3 |         3 |           3 |          24 |         2 |           6 |          55 |       101 |          73 |
|            3 |          4 |            4 |             1 |           1 |             1 |           3 |         3 |           3 |          24 |         2 |           6 |          54 |        96 |          70 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           1 |         5 |           3 |
|            1 |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           1 |         2 |           3 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           4 |         2 |           1 |
|            9 |         20 |            9 |             2 |           – |             – |          17 |         5 |          14 |           2 |         4 |           7 |          74 |       105 |          88 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           – |         – |           – |
|            4 |          1 |            1 |             – |           – |             – |           3 |         1 |           4 |           1 |         1 |           3 |          18 |        28 |          16 |
|            5 |         19 |            6 |             2 |           – |             – |          14 |         4 |           7 |           1 |         3 |           3 |          56 |        77 |          67 |
|            – |          – |            – |             – |           – |             – |           – |         – |           – |           – |         – |           – |           – |         – |           – |
|            1 |         27 |            – |            14 |          16 |             – |           3 |         1 |           6 |           2 |         – |           – |          77 |        88 |          54 |
