
---

**NFLD.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 6           | 5             | 4              |
| –           | –             | –              |
| –           | –             | –              |
| 10          | 49            | 10             |
| –           | –             | –              |
| –           | –             | –              |
| –           | –             | –              |
| 1           | 6             | 3              |
| 9           | 20            | 9              |
| –           | –             | –              |
| 4           | 1             | 1              |
| 5           | 19            | 6              |
| 1           | 27            | –              |

---

**P.E.I.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| –           | –             | –              |
| –           | –             | –              |
| 6           | 85            | –              |
| 13          | 20            | –              |
| –           | –             | –              |
| 3           | 15            | 14             |
| –           | –             | –              |
| 11          | 4             | 7              |
| 2           | –             | –              |
| –           | –             | –              |
| –           | –             | –              |
| –           | –             | –              |
| 14          | 16            | –              |

---

**N.S.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 6           | 5             | 52             |
| –           | –             | –              |
| –           | –             | –              |
| 104         | 73            | 65             |
| 102         | 87            | 70             |
| –           | –             | –              |
| 1           | 1             | 29             |
| 36          | 46            | 10             |
| 35          | 10            | 2              |
| 1           | 1             | 3              |
| 3           | 3             | 24             |
| –           | –             | –              |
| 3           | 1             | 6              |

---

**N.B.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 1           | –             | 1              |
| –           | –             | –              |
| –           | –             | –              |
| –           | –             | –              |
| –           | –             | –              |
| 2           | –             | 2              |
| –           | –             | –              |
| 1           | 1             | 1              |
| –           | –             | –              |
| 1           | –             | 1              |
| –           | –             | –              |
| 1           | 1             | 2              |
| 2           | –             | 2              |

---

**QUE.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 436         | 329           | 221            |
| 1           | 2             | 1              |
| –           | –             | –              |
| 446         | 386           | 235            |
| 283         | 136           | 164            |
| –           | –             | –              |
| 832         | 851           | 20             |
| 62          | 88            | 84             |
| 55          | 101           | 73             |
| 54          | 96            | 70             |
| –           | –             | –              |
| 74          | 105           | 88             |
| –           | 1             | –              |
| 56          | 77            | 67             |
| 77          | 88            | 54             |

---

**ONT.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 529         | 698           | 586            |
| –           | –             | –              |
| –           | –             | –              |
| 985         | 954           | 594            |
| 639         | 462           | –              |
| –           | –             | –              |
| 229         | 300           | 139            |
| 169         | 146           | 66             |
| 22          | 15            | 28             |
| (0)         | (0)           | (0)            |
| –           | –             | –              |
| 58          | 48            | 60             |
| –           | 1             | –              |
| 49          | 39            | –              |
| 58          | 52            | 51             |

---

**MAN.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| 30          | 15            | 43             |
| 1           | 2             | 1              |
| –           | –             | –              |
| 62          | 41            | 37             |
| 33          | 41            | 37             |
| –           | –             | –              |
| 2           | 1             | 1              |
| 7           | 9             | 20             |
| 8           | 9             | 11             |
| 9           | 11            | 7              |
| –           | –             | –              |
| 29          | 30            | 22             |
| –           | –             | –              |
| 29          | 27            | 21             |
| 14          | 2             | 8              |

---

**SASK.**

| Report Week | Previous Week | Median 1951–55 |
| ----------- | ------------- | -------------- |
| –           | 2             | 68             |
| –           | –             | –              |
| –           | –             | –              |
| 5           | 19            | 23             |
| –           | 4             | 64             |
| –           | –             | –              |
| 1           | 1             | 5              |
| 2           | –             | 26             |
| 8           | 14            | 12             |
| 7           | 12            | 8              |
| –           | –             | –              |
| 20          | 23            | 20             |
| –           | 2             | –              |
| 49          | –             | –              |
| 4           | 11            | 4              |

---

