NFLD.                          P.E.I.
Report  Previous  Median       Report  Previous  Median
Week    Week      1975–1985    Week    Week      1975–1985
  6       5          5            6       4          4
  .       .          .            .       .          .
  .       .          .            .       .          .
  .       .          .            .       .          .
 10      49         10            6      85         20
  3       3          2           13      20          1
  .       .          .           15       1          5
  .       .          .            .       .          .
  .       .          .            .       .          .
  1       1          1            1       1          1
  .       .          .            .       .          .
  .       .          .            .       .          .
  3       3          4            1       4          7
  4       4          3            1       1          1
  1       1          1            1       1          1
  .       .          .            1       1          1
  9      20          9            .       .          .
  5       9          9            .       .          .
  1      19          6            2       .          .
  .       .          .            .       .          .
  1      27          .           14      16          .
