NFLD.             | P.E.I.            | N.S.
------------------|-------------------|-------------------
Report Prev. Med. | Report Prev. Med. | Report Prev. Med.
Week   Week  1971 | Week   Week  1971 | Week   Week  1971
                  |                   |                  
6      5     4    | .      .     .    | 54     55    52
.      .     .    | .      .     .    | .      .     .
.      .     .    | .      .     .    | .      .     .
10     4     3    | 6      1     1    | 102    73    65
10     49    10   | 13     20    5    | 102    87    70
.      .     .    | 3      15    14   | 11     1     29
3      1     1    | 5      1     1    | .      .     .
.      .     .    | 3      4     5    | 1      1     1
.      .     .    | 5      6     4    | .      .     .
3      4     3    | 2      3     2    | 36     10    20
.      .     .    | 1      1     1    | .      .     .
.      .     .    | .      .     .    | .      .     .
.      .     .    | .      .     .    | .      .     .
1      1     1    | 3      1     1    | 1      1     1
.      .     .    | 1      .     .    | 2      .     .
.      .     .    | .      .     .    | .      .     .
1      1     1    | 2      2     2    | 1      1     1
.      .     .    | .      .     .    | 3      .     .
1      .     .    | 1      .     .    | 1      1     4
.      .     .    | .      .     .    | .      .     .
5      1     19   | 6      2     1    | 2      3     2
.      .     .    | .      .     .    | .      .     .
1      27    .    | 14     16    3    | 1      3     6
