NFLD.              P.E.I.              N.S.               N.B.
Report   Previous  Cumulative Report   Previous  Cumulative Report   Previous  Cumulative Report   Previous  Cumulative
Week     Week      1926     1925  Week     Week      1926     1925  Week     Week      1926     1925  Week     Week      1926     1925

  6        5         4        -      6        1        85       1     54       65       52      1     1        1        2        1
 10        -         -        -      1        -        14       -     10        7       65     1      1        -        1        1
 49       10        49        -     10        1        20       -    102       87       70     2      2        1        1        -
  -        -         -        -      -        -         -       -      -        -        -     -      -        -        -        -
 15        1        15        1      5        1        11       -     11        1       29     2      1        -        -        1
  -        -         -        -      -        -         -       -      -        -        -     -      -        -        -        -
  -        -         -        -      -        -         -       -      -        -        -     -      -        -        -        -
 17        -        36        1      -        -         -       -     36       10       5      -      -        -        1        -
  -        -         -        -      -        -         -       -      -        -        -     -      -        -        -        -
 20        1        37        1      -        -         -       -      -        -        -     -      -        -        -        -
  -        -         -        -      -        -         -       -      -        -        -     -      -        -        -        -
  5        1        19        6      -        -         -       -      -        -        -     -      -        -        -        -
  1        1        27        -     14        6        33       1      3        1        2     1      1        -        3        -
