NFLD.                   P.E.I.                  N.S.                    N.B.                   QUE.
Report   This  Previ-  Cumu-  Report   This  Previ-  Cumu-  Report   This  Previ-  Cumu-  Report   This  Previ-  Cumu-  Report   This  Previ-  Cumu-
Week     Week  ous     lative Week     Week  ous     lative Week     Week  ous     lative Week     Week  ous     lative Week     Week  ous     lative
                 Week                            Week                           Week                           Week                           Week

  6        5              6        –         –              –       54      55              52       1     436    239      221
  –        –              –        –         –              –       –       –              –         1       1      1        1
  –        –              –        –         –              –       –       –              –         –       –      –        –
  –        –              –        –         –              –       –       –              –         –       1      –        –
  –        –              –        –         –              –       –       –              –         –       1      –        1
  –        –              –        –         –              –       –       –              –         –       –      –        –
  –        –              –        –         –              –       –       –              –         –       –      –        –
  –        –              –        –         –              –       –       –              –         –       –      –        –
  –        –              –        –         –              –       –       –              –         –       –      –        –
  –        –              –        –         –              –       –       –              –         –       –      –        –
 10       9             10        1         1              1       85      102             87        1     446    386      235
 13      15             14        –         –              –       11      –              29        –       1      –        –
  1       1              1        –         –              –        4       5              3         –       2      1        1
  1       –              1        –         –              –        1       1              1         –       –      –        –
  4       –              2        –         –              –        –       –              –         –       –      –        –
  1       –              1        –         –              –        3       1              2         –       –      –        –
  4       –              3        –         –              –        –       –              –         –       –      –        –
  2       –              1        –         –              –        1       –              –         –       –      –        –
  3       –              3        –         –              –        3       –              2         –       –      –        –
  1       –              1        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –       10      17             16        –       –      –        –
  2       –              1        –         –              –        –       –              –         –       –      –        –
  1       –              –        –         –              –        –       –              –         –       –      –        –
  1       –              –        –         –              –        –       –              –         –       –      –        –
  3       –              2        –         –              –        –       –              –         –       –      –        –
  1       –              –        –         –              –        –       –              –         –       –      –        –
  1       –              1        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  1       2              1        –         –              –        3       –              3         –     832    851      20
  4       3              3        –         –              –        1       3              3         –       2      3        3
  3       4              2        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  1       1              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  1       1              –        –         –              –        –       –              –         –       –      –        –
  1       2              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  –       –              –        –         –              –        –       –              –         –       –      –        –
  1      27             –        1        14             16        –       –              –         2      77     88      54
