        NFLD.         P.E.I.         N.S.         N.B.         QUE.           ONT.          MAN.
        Report        Report        Report        Report        Report        Report        Report
        week          week          week          week          week          week          week
        (week         (week         (week         (week         (week         (week         (week
        ending)       ending)       ending)       ending)       ending)       ending)       ending)
        1954-55       1954-55       1954-55       1954-55       1954-55       1954-55       1954-55

        6            5            6            6            436          329          221
        .            .            .            .            1            .            .
        .            .            .            .            2            1            .
        .            .            .            .            .            2            1
        .            .            .            .            .            1            2
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            .            .            .            1            .            .
        .            .            .            .            .            1            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            .            1            .            1            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        6            1            .            1            446          386          235
        .            .            .            .            .            1            1
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        3            1            .            .            283          136          164
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        3            1            3            2            832          851          220
        .            .            .            .            .            1            2
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            .            .            .            551          801          20
        .            .            .            .            1            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        3            .            1            .            105          88           2
        .            .            .            .            2            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            .            1            1            74           105          88
        .            .            .            .            1            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            1            .            .            77           88           54
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            .            1            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            1            1            2            1            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            1            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            .            1            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            .            1            1            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            1            1            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .

        1            .            2            1            27           14           16
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
        .            .            .            .            .            .            .
