Disease,NFID_Recent_Week,NFID_Previous_Week,NFID_Median_2015_19,PFI_Recent_Week,PFI_Previous_Week,PFI_Median_2015_19,,,,,
,6,5,6,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,6,6,6,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,13,20,10,,,,,
,10,49,10,,,,,,,,
,,,,15,14,5,,,,,
,,,,,,,,,,,
,3,2,3,,,,,,,,
,,,,,,,,,,,
,,,,1,4,7,,,,,
,,,,,,,,,,,
,1,3,4,,,,,,,,
,,,,,,,,,,,
,1,,,,,,,,,,
,,,,3,4,1,,,,,
,,,,,,,,,,,
,1,,,,,,,,,,
,,,,1,1,,,,,,
,,,,,,,,,,,
,9,20,,,,,,,,,
,,,,,,,,,,,
,5,19,2,,,,,,,,
,,,,,,,,,,,
,1,27,,14,16,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,z
