source_file,row_data
Montreal.csv,source_file,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27
Montreal.csv,page_0003_tables.csv,Westmount,Montreal West,,,,1,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0003_tables.csv,,Montreal,2,90,85,77,33,9,37,1,122,1,4,,,,,,,,,,,,,,
Montreal.csv,page_0004_tables.csv,,Montréal,,150,110,57,22,21,34,,142,1,2,,,,,,,,,,,,,,
Montreal.csv,page_0004_tables.csv,Laval,Montréal Est,,,1,,,,,,,1,,,,,,,,,,,,,,,
Montreal.csv,page_0005_tables.csv,,Montréal,,235,152,38,72,30,27,3,163,1,5,,,,,,,,,,,,,,
Montreal.csv,page_0006_tables.csv,,Montréal Nord,,3,,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0006_tables.csv,,Montréal,1,271,192,10,215,78,42,2,127,1,10,,,,,,,,,,,,,,
Montreal.csv,page_0008_tables.csv,Laval,Montreal Est,,1,2,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0008_tables.csv,,Montreal Nord,,1,,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0008_tables.csv,,Montréal,6,239,203,12,267,156,12,,123,,12,,,,,,,,,,,,,,
Montreal.csv,page_0009_tables.csv,,Montréal Ouest,,,1,,13,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0009_tables.csv,,Montréal,14,195,227,14,270,120,40,4,191,,6,,,,,,,,,,,,,,
Montreal.csv,page_0010_tables.csv,,Montréal Est,,,,1,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0010_tables.csv,,Montreal West,,,2,,90,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0011_tables.csv,,Montréal,3,158,214,12,773,38,21,,164,,20,,,,,,,,,,,,,,
Montreal.csv,page_0011_tables.csv,,Montréal Nord,,,5,2,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0012_tables.csv,,Montréal,10,156,175,12,1080,108,38,1,194,,13,,,,,,,,,,,,,,
Montreal.csv,page_0012_tables.csv,Westmount,Hampstead Montréal ouest,,,,1,24,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0013_tables.csv,,Montréal Nord,,,1,,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0013_tables.csv,,Montréal Est,,,,,2,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0013_tables.csv,,Montréal Ouest,,,2,,3,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0014_tables.csv,,Montréal,8,105,218,13,954,121,17,,179 8,,13,,,,,,,,,,,,,,
Montreal.csv,page_0014_tables.csv,Laval,Montréal Nord,,1,2,,9,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0014_tables.csv,,Montréal Est,,,2,,1,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0015_tables.csv,,Montréal,3,103,194,17,703,53,8,3,227,,17,,,,,,,,,,,,,,
Montreal.csv,page_0015_tables.csv,,Montreal Ouest Westmount Hampstead,,2,4 5,,8 4 4,,,,1,,,,,,,,,,,,,,,,
Montreal.csv,page_0016_tables.csv,,Montréal Ouest,,,1,,2,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0016_tables.csv,Laval,Montréal Nord,,1,1,,12,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0016_tables.csv,,Montreal Est,,,,,10,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0017_tables.csv,,Montréal,12,139,128,12,419,44,13,,182,,7,,,,,,,,,,,,,,
Montreal.csv,page_0017_tables.csv,,Montréal Nord,,,1,,S,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0017_tables.csv,,Montréal Est,,,,,2,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0018_tables.csv,,Montreal West,,,,,,6,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0019_tables.csv,,Montréal,,,,5,,,,,,,,,,,,19,,,6,,,,54,,
Montreal.csv,page_0020_tables.csv,,Montréal,,,6,105,1,,1,,3,,7,3,,16,,74,,,156,,22,13,19 13,,
Montreal.csv,page_0021_tables.csv,,Montreal West,,,,,,,,,,,,,,,,2,,,,,1,,,,
Montreal.csv,page_0021_tables.csv,,Montréal,,,24,94,,,2,,2,,7,11,,18,,148,,,137,,16,9,5,,
Montreal.csv,page_0022_tables.csv,Laval,Montréal Nord,,,,1,,,,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0023_tables.csv,,Montréal,,,21,140,,,8,,1,,86,4,,67,,233,,,201,,14,159,11,,
Montreal.csv,page_0023_tables.csv,,Montréal Est,,,,,,,,,,,,,,1,,,,,,,1,,,,
Montreal.csv,page_0023_tables.csv,,Montréal Nord,,,,,,,,,,,,,,,,,,,1,,,,,,
Montreal.csv,page_0024_tables.csv,,Montreal Ouest,,,,,,,,,,,,,,,,1,,,1,,,,,,
Montreal.csv,page_0025_tables.csv,,Montréal Est,,,,1,,,,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0025_tables.csv,,Montréal-Nord,,,,,,,,,,,,,,,,,,,,,1,,,,
Montreal.csv,page_0027_tables.csv,,Montréal Québec,,,40,173 17,,,1069,,2,,48,1,,103 1,13,208 39,,,123 6,,5 5,228 5,5 3,,
Montreal.csv,page_0027_tables.csv,,Montréal-Est,,,,,,,49,,,,,,,,,,,,,,,4,,,
Montreal.csv,page_0028_tables.csv,,Montréal-Nord,,,,,,,800,,,,,,,,,,,,,,,,,,
Montreal.csv,page_0028_tables.csv,,Montréal West,,,,,,,144,,,,,,,,,1,,,,,,,,,
Montreal.csv,page_0029_tables.csv,,Montréal,,,51,153,,,142,,1,2,62,,,76,11,302,,,191,,2,135,13,,
Montreal.csv,page_0030_tables.csv,,Montreal West,,,,,,,,,,,,,,,,2,,,,,,1,,,
