Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningiti;,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Hull,Wakefield,,,,1,,,,,,,
J.-Cartier,Verdun,,2,4,8,17,1,1,,,,
,Lachine,,1,,,,,,,,,
,Pointe-Claire par,,,,3,,,,,,,
,Ste-Anne de Bellevue,,,1,,,,,,,,
Joliette,St-Jean de Matha,,,,3,,,,,,,
Kamouraska,St-André,,,,,,,,,1,,
Lac St-Jean,Hébertville,,1,,5,,,,,,,
Laprairie,St-Constant,,,,14,,,,,,,
,St-Isidore,,,,1,,,,,,,
Laval,Rivière des Prairies,,,,2,,,,,,,
,St-Jean de Dieu,,,,,,,,,3,,
Lotbinière,Deschaillons,,1,,,,,,,,,
Matane,Baie des Sables,,,,,,,,,1,,
Matapédia,Lac au Saumon,,,2,,,,,,,,
Mégantic,Plessisville,,,,1,,,,,,,
,Lyster Station,,,1,,,,,,,,
Missisquoi,St-ignace de Stanbridge,,,,1,,,,,,,
Nicolet,Nicolet,,,2,,,,,,,,
Papineau,Masson,,,,1,,,,,,,
Pontiac,Clarendon,,1,,,,,,,,,
Richmond,Asbestos,,,,,,,,,1,,
Rimouski,Bic,,,,,,,,,1,,
Shefford,Ely Nord,,1,,,,,,,,,
,Ely Sud,,3,,,,,,,,,
,Granby,,,1,,,,,,1,,
Sherbrooke,Sherbrooke,,2,2,,,,,,,,
Saint-Jean,N.-D. du Mont-Carmel,,1,,,,,,,,,
,St-Jean,,1,,,,,,,,,
Témiscouata,Trois-Pistoles,,,1,,,,,,1,,
,Rivière du Loup,,,,,,,,,2,,
,Cabano,,,,,,,,,1,,
,St-Clément,,,,,,,,,1,,
,St-Hubert,,,,,,,,,1,,
,St-Eloi,,,,,,,,,1,,
Terrebonne,St-Faustin,,1,,,,,,,,,
Vaudreuil,Vaudreuil,,1,,,,,,,,,
,Hudson,,3,,,,,,,,,
Verchères,McMasterville,,,,2,,,,,,,
Westmount,Westmount,,,1,,,,,,,,
Westmount,Outremont,,,4,,,1,,,,,
Yamaska,St-François du Lac,,,1,,,,,,,,
,Total pour août-Total for August,2,131,129,141,56,11,80,1,145,1,4
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose l'uberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,,150,110,57,22,21,34,,142,1,2
,Québec,,10,23,1,2,,,,7,1,
,Trois-Rivières,,1,3,,,,4,,,,
Abitibi,Amos,,1,1,1,,,,,,,
,Palmarol,,,,,3,,3,,,,
,Authier,,,,,,,4,,,,
Bagot,St-Ephrem Upton,,1,,,,,,,,,
Beauce,St-Théophile,,1,,,,,,,,,
,Vallée Jonction,,1,1,,,,,,,,
,St-Georges,,,,2,,,,,,,
,St-Côme,,,1,,,,,,,,
,Beauceville,,,,,,,16,,,,
Beauharnois,Beauharnois,,1,,,,,,,,,
Bonaventure,Escuminac,,,,2,,,,,,,
Brome,Sutton Tsp,,2,,,,,,,,,
,Knowlton village Sutton village,,,1 1,,,,,,,,
Charlevoix,St-Etienne de Malbaie,,,,1,,,,,,,
Compton,Lingwick,,,,1,,,,,,,
,Newport,,,2,,,,,,,,
,Burv,,,,,,,3,,,,
Dorchester,Ste-Germaine,,,,3,,,,,,,
,Ste-Justine,,,,6,,,,,,,
,St-Isidore,,,1,,,,,,,,
Drummond,Drummondville,,1,,,,,,,,,
Gaspé,Ste-Adelaide de Pabos,,,,1,,,,,,,
Hull,Hull,,3,1,,,,,,,,
,Wright,,,2,1,,,,,,,
,Aylwin,,,1,,,,,,,,
Huntingdon,St-Anicet Hinchinbrooke Huntingdon,,1 2,,,,,,,1 5,,
J.-Cartier,Verdun,,4,7,4,9,,1,,,,
,St-Laurent ville-city Lachine,,2,1 2,2,,,2,,,,
Joliette,Joliette,,2,,,,,,,,,
Kamouraska,St-Philippe de Néri,,,,1,,,,,,,
Lac St-Jean,St-Joseph Alma N.-D. de la Doré Mistassini,,1,,1 1,,,,,,,
L'Assomption,L'Assomption ville,,,,1,,,,,,,
Laval,Montréal Est,,,1,,,,,,,1,
,St-Jean de Dieu,,,,,,,,,,,
Lotbinière,Deschaillons,,,,,,1,,,,,
