Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Montcalm,St-Jacques Rawdon,,3,2,1,,,,,,,
Nicolet,Nicolet,,2,4,,,,,,,,
,St-Raphael d' Aston,,5,,,,,,,,,
,Bécancourt,,,,,1,,,,,,
,St-Jos. de Blanford,,,,,,,,,1,,
Papineau,Pointe-Gatineau,5,,,,,,,,,,
,Buckingham,,,3,1,,,,,,,
,L'Ange-Gariden Blake, Bigelow, Wells,,,1,,,,,,1,,
Portneuf,St-Alban,,2,,,,,,,,,
,Pont-Rouge,,4,,,,,,,,,
,St-Raymond,,1,,,,,,,,,
Québec,Beauport,,5,,,,,,,,,
Richmond,Cleveland Danville,,,2,,,,,,,1,
Shefford,Granby,,3,4,,1,,,,,,
Sherbrooke,Sherbrooke,,6,28,7,,,,,,,
Soulanges,Ste-Claire d' Assise Rivière Beaudette Ste-Zotique,1 1 1,,,,,,,,,,
,St-Joseph de Soulanges,,4,,,,,,,,,
,St-Télesphore,,1,,,,,,,,,
,Coteau Landing,,1,,,1,,,,,,
Stanstead,Coaticook Dixville,,,,,,1,,,1,,
St-Jean,St-Jean,,4,,1,,,,,,,
St-Maurice,Ste-Flore Shawinigan Falls,1,3 1,,1,,,,,1,,
Témiscouata,St-Louis du Ha! Ha,3,,,,,,,,,,
,Rivière du Loup,4,,8,,2,,4,,3,,
,Trois-Pistoles,1,,,,,,,,1,,
,N.-D. du Lac,,,,2,,,,,,,
,St-Jean de Dieu,,,2,,,,,,,,
,Trois-Pistoles,,,1,,,,,,,,
,Isle-Verte.,,,,,,,,,1,,
Vaudreuil,Ste-Justine de Newton Hudson,1,2,8,,,,,,,,
Verchères,Beloeil,,,1,,,,,,,,
Westmount,Outremont,,4,on,,1,24,2,,,,
,Westmouut,,7,5,,,,,,,,
,Hampstead,,,,,2,,,,,,
,Total pour novembre Total for November,28,432,428,60,415,143,63,3,154,3,13
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Chicoutimi,Kénogami,,1,,2,,1,,,,,2
,Jonquière,,7,,,1,Z,,,1,,1
,Chicoutimi,,,,1,,,,,,,
Compton,Bury Tsp,,,3,,,1,,,,,
,Eaton,,,2,,,,,,,,
Dorchester,St-Léon de Standon,,,2,,,,,,,,
,St-Bernard,,,,,,,,1,1,,
Drummond,Drummondville,,1,,,,,,,,,
Frontenac,St-Evariste,,1,,,,,,,,,
Gaspé,Gaspé,,1,,,,,,,,,
,Ste-Adélaide,,,,,1,,,,,,
Hull,Low,1,,,,,,,,,,
,Wright,1,,,,,,,,,,
,Maniwaki,1,,,,,,,,,,
Huntingdon,Huntingdon,,1,4,,,,,,,,
,Havelock,,,1,,,,,,,,
,Godmanchester,,,1,,,,,,,,
Iberville,Iberville,,3,,,,,,,,,
J.-Cartier,Verdun,,13,19,2,177,23,3,,,,
,Doval,,,,,,4,,,,,
,Lachine,,11,16,,1,,1,,1,,
,Pointe-Claire,,,2,,,,,,,,
,Ste-Anne de Bellevue,,,,,8,,,,,,
Joliette,St-Félix de Valois,,1,,,,,,,,,
Kamouraska,St-Alexandre,,,,3,,,,,,,
,Andréville,,,7,,,,,,,,
,St-Eleuthère,,,2,,,,,,,,
Lac St-Jean,Roberval,,1,,,,,,,,,
,St-Jérôme,,1,,,,,,,,,
,Isle Maligne,,3,,,,,,,,,
Laprairie,St-Isidore,,,,1,,,,,,,
L'Assomption,L'Assomption,,,1,,,,,,,,
Laval,Pointe-aux-Trembles,,2,,,,,,,,,
,Laval des Rapides,,,3,,,,,,,,
,St-Jean de Dieu,,,,,,,,,4,,
,Ste-Rose,,,,,,,,,1,,
Lévis,St-Romuald,,1,,,,,,,,,
Lotbinière,Ste-Croix,1,,,,1,2,,,,,
,St-Edouard,,3,,,,,,,1,,
Mégantic,Bernierville,,,,2,,,,,,,
,Plessisville,,,1,,,,,,,,
,Black Lake,,,,,1,,,,,,
,Thetford Mines,,,,1,,,,,,,
Missisquoi,Dunham,,4,1,,,,,,,,
,Frelighsburg,,2,,,,,,,,,
,St-Armand Ouest,,4,,,,,,,,,
