Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlet fever Scarlatine,AMERICAN Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
J.-Cartier,N.-D. de Liesse,,,,,1,119,18,,,,1
,Lachine,,3,9,9,16,3,,,1,,
,Senneville,,,,,,1,,,,,
,Verdun,,4,18,,9,4,1,,4,1,
,Pointe-Claire,,,1,,8,1,,,,,
,Ville St-Pierre,,2,,,,,,,,,
,Ste-Geneviève village,,,,1,,,,,,,
,Ste-Geneviève de P,,,,1,,,,,,,
,St-Laurent,,,1,1,1,,,,,,
,Dorval,,,,2,,,,,,,
,Côte St-Luc.,,,1,,,,,,,,
,Mount Roval,,,1,,,,,,,,
,Ville Lasalle,,,,,1,,,,,,
Joliette,St-Félix de Valois,,1,,,,,,,,,
Kamouraska,St-Eleuthère,3,,,,,,,,,,
,St-Philippe de Néri,2,,,,,,,,,,
Lac St-Jean,Roverbal,,,,,,1,,,,,
Laprairie,St-Isidore,,,,1,,,,,,,
,Laprairie,,,,1,,,,,,,
L'Assomption,St-Lin,,,,1,,,,,,,
Laval,St-Vincent de Paul,1,,,3,,,,,,,
,Pointe-aux-Trembles,,3,2,,,,,,,,
,Ste-Rose par,,,1,,,,,,,,
,Ste-Rose p. o,,,1,,,,,,,,
,Ste-Rose ville-town,,,3,,1,,,,,,
,Montréal Nord,,,1,,,,,,,,
,Montréal Est,,,,,2,,,,,,
Lévis,Charny,1,,,,,,,,,,
,Lévis,,,4,,,1,,,,,
,Lauzon ville-town,,4,,,,,,,,,
L'Islet,St-Hubert,2,,,,,,,,,,
,L'Islet,,,2,,,,,,,,
Lotbinière,Issoudun,,3,,,,,,,,,
Mégantic,Thetford Mines,,3,5,3,,,,,,,
,Plessisville,,,2,,,,,,,,
,Amiante,,,1,,,,,,,,
Missisquoi,Dunham Tsp,,5,,,,,,,,,
,Dunham village,,,1,,,,,,,,
Montcalm,St-Jacques,,2,,,,,,,,,
Nicolet,Nicolet,,3,2,1,52,,,,1,,
Papineau,West Templeton,,,,,,,2,,,,
Pontiac,Fort Coulonges,2,,,,,,,,,,
Portneuf,Neuville,,1,,1,,,,,,,
,Pont Rouge,,,,,,,1,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Québec,Courville,2,,,,,,,,,,
,Mastai,,1,,,,,,,,,
,Giffard,,2,,,,,,,,,
Richelieu,St-Robert,,,,1,,,,,,,
Richmond,Richmond,,,1,,,,,,,,
,Melbourne,,,1,,,,,,,,
,Bromptonville,,,1,,,,,,,,
Rimouski,Bic,2,,,,,,,,,,
,Rimouski,,,1,,,,,,,,
Rouville,St-Hilaire,,,,,2,,,,,,
,St-Damase,,,,,,,,,2,,
Shefford,Roxton Falls Waterloo,,1,,1,,2,,,,,
Sherbrooke,Sherbrooke Lennoxville,6,3,24,,10 10,15,1,,,,
St-Hyacinthe.,St-Hyacinthe,,1,,1,,,1,,,,
,La Providence,,1,,,,1,,,,,
,N.-D. de St-Hyacinthe,,,,1,,,,,,,
,St-Joseph de St-Hyac,,2,,,1,,,,,,
St-Maurice,Shawinigan Falls,,7,6,3,,,4,,,,
Témiscouata,Isle-Verte,2,,,,,,,,,,
,Squateck,3,,,,,,,,,,
,Cabano,8,,,,,,,,,,
,Rivière Bleue,1,,,,,,,,,,
Verchères.,McMasterville,,,,,,1,,,,,
Westmount,Westmount,,,5,,20,,,,,,
,Montréal Ouest,,,2,,3,,,,,,
,Outremont,,,11,,98,,,1,,,
,Hampstead,,,,,17,,,,,,
Wolfe,St-Raymond,,3,,,,,,,,,
,Total pour mars-Total for March,131,236,384,63,1378,270,104,3,226,1,14
