Table: Table_1
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
,Montréal,3,103,194,17,703,53,8,3,227,,17
,Québec,47,7,43,2,12,S,3,,26,,
,Trois-Rivières,3,1,3,1,4,,,,,,
Abitibi,La Sarre,,,,1,,,,,,,
,Rouyn,,1,,,,,,,,,
Argenteuil,Montfort,,,1,,,,,,,,
Arthabaska,Princeville,,,,1,,,,,,,
Beauce,St-Joseph,,,,,,11,,,,,
,St-François,,1,,,1,1,,,,,
,St-Georges.,,,3,,,,,,,,
,N.-D. de la Providence,,,,,,,,,,,
Bellechasse,St-Charles,1,,,,,1,,,,,
Berthier,Lanoraie Lavaltrie St-Cuthbert,,,2 2,1,4,,,,,,
Brome,Sutton village East Farnham Knowlton village Sutton Tsp,,,2,,4 7,,1,,,,
Chambly,St-Lambert,,,2,,1,,,,2,,
Champlain,St-Louis de France St-Séverin,1,,,1,,,,,,,
Chateauguay,Très St-Sacrement,,,2,,,,,,,,
Chicoutimi,Chicoutimi Port-Alfred Kénogami,1 1,1,,,,3,,,,,
Compton,East-Angus Bury Tsp Clifton Est,,,2,,9 1,2 1,,,,,
Dorchester,St-Léon de Standon St-Isidore,1 1,,,,,,,,,,
Drummond,Drummondville Durham Tsp,,1,,,1,,,,,,
Frontenac,Mégantic,,,,,1,,,,,,
Hull,Low,11,1,,,,,,,,,
Iberville,Iberville,,1,,,,,,,,,
J.-Cartier,Lachine,,1,5,3,4,2,,,3,,
,N.-D. de Liesse,,,,,,7,23,,,,2
,Verdun,,9,6,12,14,4,,,3,,7
,Ville St-Laurent Dorval,,1 1,,1,1 8,,,,,,
,Ville Lasalle,,,,1,,,,,,,
,Ste-Geneviève de P,,,,2,,,,,,,
,Pointe-Claire,,,2,,1,,,,,,
,Beaconsfield,,,,,1,,,,,,
,Ville St-Pierre,,,,,8,,,,,,
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
Québec,St-Michel Archange,,,4,,,,,,,,
Richmond,Bromptonville Windsor,1,1,1,,,,,,,,
,Richmond,,1,,,,,,,,,
,Melbourne,,,,,1,,,,,,
Shefford,Granby Waterloo,,,4,,2,2,,,,,
Sherbrooke,Sherbrooke Lennoxville,3,14,22,,15 2,1,,,,,
Stanstead,Dixville Rock Island Barnston,,,,,8 1 5,,,,,,
St-Hyacinthe.,St-Joseph village St-Hyacinthe La Providence,,1,,1,2,2 2,7,,,,
St-Maurice,Shawinigan Falls,,9,3,,,3,,,,,
Témiscouata,Cabano Rivière Bleue Rivière du Loup St-Jean de Dieu Ste-Françoise Isle-Verte,1 1,1,1,1 3,,,,,,,
Terrebonne,Mont-Rolland,,3,,,,,,,,,
,St-Jovite,,,,1,,,,,,,
,Terrebonne,,,3,,,,,,,,
Vaudreuil,Rigaud,,2,,,,,,,,,
Westmount,Outremont,,1,11,1,35,1,2,,,,
,Montreal Ouest Westmount Hampstead,,2,4 5,,8 4 4,,,,1,,
Wolfe,Wottonville,,,,,,,,,2,,
Yamaska,St-Michel l'Yamaska,,,,1,,,,,,,
,Pierreville,,,,1,,,,,,,
,Abénakis (Odaneck),,,,1,,,,,,,
,Total pour avril-Total for April,91,179,427,77,1146,260,54,1,195,,17
