Table: Table_1
,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvretyphoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
1927,,,,,,,,,,,
Juillet,12,150,179,197,136,. 49,104,3,105,,5
Août,2,131,129,141,46,11,80,1,145,1,4
Septembre,,196,170,100,37,28,67,,158,2,3
Octobre,21,371,325,104,207,65,41,4,181,2,6
Novembre,28,432,428,60,415,143,63,3,154,3,13
Décembre-December,39,364,386,60,413,250,46,,153,1,42
1928,,,,,,,,,,,
Janvier-January,50,316,471,141,545,165,95,4,216,,7
Février-February,52,251,489,80,1173,154,65,,187,,20
Mars-March,131,236,384,63,1378,270,104,3,226,1,14
Avril-April,91,179,427,77,1146,260,54,1,195,,17
Mai-May,109,173,395,58,872,114,40,3,275,,26
Juin-June,99,189,276,44,559,66,18,,217,,19
Table: Table_2
Comtés Counties,Municipalités Municipalities,Variole Small-pox,Diphtérie Diphtheria,Scarlatine Scarlet fever,Fièvre typhoide Typhoid fever,Rougeole Measles,Varicelle Chicken-pox,Coqueluche Whooping-cough,Méning. Cér. Spin. Cer. spinal meningitis,Tuberculose Tuberculosis,Paral. Infantile Infant. paralysis,Grippe Influenza
St-Hyacinthe.,St-Hyacinthe,,6,1,1,11,,,,,,
St-Maurice,Shawinigan Falls,,2,,1,,,,,,,
Témiscouata,Estcourt,1,,,,,,,,,,
,St-Louis du Ha! Ha!,,2,,,,,,,,,
Témiscouata,Bégon,,,3,,,,,,,,
,Cabano,,,,,,,,,2,,
,St-Hubert,,,,,,,,,1,,
,Rivière du Loup,,,,,,,,,5,,
,Isle-Verte,,,,,,,,,2,,
,St-Eloi,,,,,,,,,1,,
,St-Arsène,,,,,,,,,1,,
Terrebonne,Val-Morin,1,,,,,,,,,,
Vaudreuil,Ste-Justine,,,,,,,,,,,8
Verchères.,Ste-Théodosie,,,,1,,,,,,,
,McMasterville,,2,,,1,,,,,,
Westmount,Westmount,,,5,,2,,,,,,
,Outremont,,2,7,,6,1,,,,,
,Montreal West,,,,,,6,,,,,
,Total pour juin-Total for June,99,189,276,44,559,66,18,,217,,19
