Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,,,,3,77,,,2,,1,,,,,90,,72,,,146,,14,23,5
,Montréal,,,,5,,,,,,,,,,,,19,,,6,,,,54
,Québec Trois-Rivières,,,,2,,,,,,,,,,,,,,,,,1,,
,,,,,1,,,,,,,,,,,,,,,,,1,,
Abitibi,Amos,,,,,,,,,,,,,,,,1,,,,,6,,
,Rouyn ter. non,,,,,,,,,,,,,,,,,,,,,1,,
,Cléricy, organ Landrienne,,,,3,,,,,,,,,,,,,,,,,,,
,Figuery & Dalquier,,,,1,,,,,,,,,,,,,,,,,,,
Argenteuil,Grenville & Augmentation,,,,,,,,,,,,,,,,1,,,,,,,
Arthabaska,Victoriaville,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,,
Beauce,Princeville St-Elzéar,,,,,,,,,,,,,,,,,,,,,,4,
,L'Enfant Jésus,,,,,,,,,,,,,,,,,,,,,,2,
,Sacré-Cœur de Jésus V,,,1,,,,,,,,,,,,,,,,,,,1,
,Ste-Marie,,,,1,,,,,,,,,,,,,,,,,,,
,Shenly,,,,1,,,,,,,,,,,,,,,,,,,
Bellechasse,Beaumont,,,,1,,,,,,,,,,,,,,,,,,,
,St-Camille,,,,,,,,,,,,,,,,,,,,,1,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,,,,,,1,,
,Lavaltrie,,,,,,,,,,,,,,,,1,,,,,,,
Brôme,Potton,,,,,,,,,,,,,,1,,1,,,,,,,
Champlain,La Tuque,,,,,,,,,,,,,,,,,,,,,,,2
,Batiscan,,,,,,,,,,,,,,,,,,,,,2,,
,Ste-Anne de la Pérade,,,,3,,,,,,,,,,,,,,,,,,,
Châteauguay,Ville de Léry,,,,1,,,,,,,,,,,,,,,,,,,
,Ormstown, village,,,,,,,,,,,,,,,,1,,,,,,,
,Ormstown, township Très St-Sacrement,,,,,,,,,,,,,,,,1 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
