Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtaimie pur. des n.-nés Pur.ophtha mia neonatorul,Oreillons Mumps,Paralysie infantite Poliomvelitis,Paratyphoide Paratyphoid,Rougeo!e Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Mégantie,Black Lake,,,,2,,,,,,,,,,,,7 1,,,1,,1,1,
,Thetford Mines,,,,2,,,,,,,,,,,,,,,,,4,,
,Plessisville,,,,,,,,,,,,,,,,,,,,,1,,
,Lyster Station,,,,,,,,,,,,,,,,2,,,,,,,
,St-Pierre Baptiste,,,,,,,,,,,,,,,,1,,,,,,,
Missisquoi,Stanbridge Est,,,,,,,,,,,,,,,,1,,,,,,,
,Stanbridge,,,,,,,,,,,,,,,,2,,,,,,,
,St-Armand Ouest,,,,,,,,,,,,,,,,1,,,,,,,
,Sweetsburg,,,,,,,,,,,,,,,,1,,,,,,,
,St-Ignace de Stanbridge,,,,,,,,,,,,,,,,48,,,,,,,
Montmagny,Cap St-Ignace,,,,,,,,,,,,,,,,,,,,,,,3
,Montmagny,,,,,,,,,,,,,,,,1,,,,,,,
Montmorency,St-Jean I. o,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Famille,,,,2,,,,,,,,,,,,1,,,1,,1,,
Nicolet,Nicolet,,,,,,,,,,,,,,,,,,,,,3,,
,St-Edouard,,,,,,,,,,,,,,,,,,,,,,,
,Manseau,,,,,,,,,,,,,,1,,,,,,,1,,
Papineau,Buckingham,,,,2,,,,,,,,,,,,2,,,,,4,,
,Pointe Gatineau,,,,,,,,,,,,,,,,,,,,,1,,
Pontiac,Campbell's Bay,,,,,,,,,,,,,,,,,,,,,1,,
,Bryson,,,,,,,,,,,,,,,,,,,,,,,
,Grand Calumet,,,,,,,,,,,,,,,,1,,,,,,,5
Portneuf,St-Raymond,,,,,,,,,,,,,,,,,,,,,,,5
,Donnacona,,,,,,,,,,,,,,,,,,,,,,,1
,St-Léonard,,,,,,,,,,,,,,,,,,,,,,1,
,Pont Rouge,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Jeanne de Neuville,,,,4,,,,,,,,,,,,,,,,,,,
Table: Table_2
Québec,St-Colomb de Sillery,,,,2,,,,,,,,,,,,,,,,,4,1,
Richmond,Bromptonville,,,,,,,,,,,,,,,,1,,,,,,,
,Windsor, ville,,,,4,,,,,,,,,,,,1,,,,,,,
,Stoke,,,,,,,,,,,,,,,,3,,,,,,,
,Richmond,,,,,,,,,,,,,,,,,,,,,,,
Rimouski,Bic,,,,,,,,,,,,,,,,,,,1,,,,
,St-Mathieu,,,,,,,,,,,,,,,,1,,,,,,,
Rouville,Rougemont,,,,,,,,,,,,1,,,,1,,,,,,,
Shefford,Granby, canton Roxton Falls,,,,,,,,,,,,,,,1,24,,,,,,,
Sherbrooke,Sherbrooke,,,,7,,,,,,,,1,,,,,,,,,,,
Soulanges,St-Télesphore,,,,2,,,,,,,,,,,,,,,,,,,
Stanstead,Magog, township Hatley, village Barnston,,,,2,,,,,,,,1 1,,,,,,,,,,,6
St-Maurice,St-Boniface de Shawinigan,,,,1,,,,,,,,,,,,,,,,,,,1
,Baie Shawinigan,,,,3,,,,,,,,,,,,,,,,,,,
,Shawinigan Falls,,,,2,,,,,,,,,,,,,,,,,,,
Témiscouata,St-Cyprien,,,,,,,,,,,,,,,,,,,10,,,,
,Rivière du Loup,,,,,,,,,,,,,,,,,,,2,,,,
,St-Epiphane,,,,,,,,,,,,,,,,,,,1,,,,
,Isle Verte,,,,,,,,,,,,,,,,,,,1,,,,
,Cacouna,,,,,,,,,,,,,,,,,,,1,,,,
,St-Eloi,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,Mont Rolland,,,,1,,,,,,,,,,,,,,,,,,,2
,Ste-Thérèse,,,,3,,,,,,,,,,,,1,,,,,,,
Verehères,McMasterville,,,,,,,,,,,,,,,,,,,,,,2,
,Contrecceur, paroisse,,,,,,,,,,,,,,1,,,,,,,,,
Westmount,Outremont,,,,4,,,,,,,7,,,1,,1,,,,,,9,
,Westmount,,,,,,,,,,,,,,,,3,,,,,,,
,Montreal Ouest,,,,,,,,,,,,,,,,1,,,1,,,,
,Totaux-Totals,,,59,228,,,27,,1,,95,9,,87,1,404,,,270,,85,195,105
