Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Maskinongé,St-Justin,,,,,,,,,,,,,,,,,,,,,1,,
Matane,Ste-Félicité,,,,,,,,,,,,,,,,,,,,,,,4
,Matane,,,,,,,,,,,,,,,,,,,,,,,2
,Ter. non org. Matane,,,,,,,,,,,,,,,,,,,,,,,1
,St-Octave de Métis,,,,,,,,,,,,,,,,7,,,,,,,
,Ste-Flavie,,,,,,,,,,,,,,,,1,,,,,,,
,Princeville,,,,,,,,,,,,,,,,6,,,,,,,
,Mont-Joli,,,,,,,,,,,,,,,,5,,,,,,,
Mégantie,Black Lake,,,,2,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,,,,,,,,,,,,,,,,,,2,,
,Lyster, village,,,,,,,,,,,,,,,,,,,,,1,,
Missisquoi,Bedford,,,,,,,,,,,,,,,,1,,,,,,,
,Stanbridge,,,,,,,,,,,,,,,,1,,,,,,,
,Cowansville,,,,,,,,,,,,,,,,,,,,,,1,
Montmagny,Cap St-Ignace,,,,,,,,,,,,,,,,S7,,,,,,,
Nicolet,Bécancour, village,,,,,,,,,,,,,,,,,,,,,,,1
,St-Léonard,,,,,,,,,,,,,,,,,,,,,3,,
,St-Edouard,,,,,,,,,,,,,,,,2,,,,,,,
Papineau,Pointe Gatineau,,,,1,,,,,,,,,,,,,,,,,,,
,Buckingham,,,,2,,,,,,,,,,,,3,,,,,,,
Pontiac,Litchfield,,,,,,,,,,,,,,,,1,,,,,,,
Portneuf,St-Raymond,,,,,,,,,,,,,,,,,,,,,,,1
,Pont-Rouge,,,1,,,,,,,,,,,,,,,,,,,,
Québec,Giffard,,,,,,,,,,,,,,,,,,,,,,1,
,Charlesbourg,,,,2,,,,,,,,,,,,,,,,,,,
,Sillery,,,,,,,,,,,,,,,,6,,,,,,,
,Loretteville,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Asbestos,,,,,,,,,,,,,,,,,,,,,,1,
,St-Georges de Windsor,,,,,,,,,,,,,,,,,,,1,,,,
Rimouski,Rimouski,,,,1,,,,,,,,,,,,1,,,,,,,
,St-Anaclet,,,,,,,,,,,,,,4,,15,,,,,,,
,Luceville,,,,,,,,,,,,,,,,2,,,,,,,
Saguenay,Sept Iles,,,,,,,,,,,,,,,,,,,,,,,1
Shefford,Granby,,,,1,,,,,,,,,,,,2,,,,,,,
,Shefford Township,,,,4,,,,,,,,,,,,,,,,,,,
,Waterloo,,,,1,,,,,,,,,,,,,,,,,,,
,St-Alphonse,,,,,,,,,,,,,,,,2,,,,,,,
,Roxton Falls,,,1,,,,,,,,,,,,5,,,,,,,,
,Roxton, canton,,,,,,,,,,,,,,,1,,,,,,,,
Sherbrooke,Sherbrooke,,,,13,,,,,,,,,,,,23,,,,,,,
,Rock Forest,,,,,,,,,,,,,,,,1,,,,,,,
Soulanges,St-Télesphore,,,,3,,,,,,,,,,,,,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,,,,,,,1,
,Rock Island,,,,,,,,,,,,,,1,,1,,,,,,,
St-Maurice,St-Boniface,,,,1,,,,,,,,,,,,,,,,,,,17
,Baie Shawinigan,,,,1,,,,,,,,,,,,,,,,,,,4
,Shawinigan Falls,,,,5,,,,,,,,,,,,2,,,,,1,4,15
Témiscouata,Isle Verte,,,,,,,,,,,,,,,,,,,1,,,,
,Trois-Pistoles,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,St-Joseph de Mont Rolland,,,,,,,,,,,,,,,,,,,,,,,1
,Ste-Thérèse,,,,4,,,,,,,,,,,,,,,,,,,
,St-Jovite,,,,,,,,,,,,,,,,,,,1,,,,
Vaudreuil,Rigaud,,,,1,,,,,,,,,,,,,,,,,,,
,Hudson,,,,1,,,,,,,,,,,,,,,,,,,
Verchères,Belœil,,,,,,,,,,,,,,,,,,,,,],,
,McMasterville,,,,,,,,,,,5,,,,,1,,,,,,,
,Contrecœur,,,,,,,,,,,,,,,2,,,,,,,,
Westmount,Outremont,,,,2,,,,,,,15,,,1,,5,,,,,,15,
,Hampstead,,,,,,,,,,,,,,,,,,,,,,4,
,Westmount,,,,1,,,,,,,,,,,,9,,,,,,,
Wolfe,Weedon Centre,,,,1,,,,,,,,,,,,,,,,,,,
,St-Fortunat,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,71,294,,,99,,,1,142,2,,162,27,629,,,183,,67,423,210
