Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinæle Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose palmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Ste-Dorothée,,,,1,,,53,,,,,,,,,,,,,,,,
,St-François de Sales St-Léonard de Port Maurice,,,,,,,15 300,,,,,,,,,,,,,,,,
,Montréal-Nord,,,,,,,800,,,,,,,,,,,,,,,,
,Pointe aux Trembles,,,,,,,168,,,,,,,,,13,,,,,,,
,St-Léonard de P. M., par,,,,,,,4,,,,,,,,,,,,,,,,
,St-Martin,,,,,,,54,,,,,,,,,,,,,,,,
,St-Michel, village,,,,,,,11,,,,,,,,,,,,,,,,
,St-Vincent de Paul,,,,,,,30,,,,,,,,,,,,,,1,,
,Pont Viau,,,,,,,,,,,,,,,,,,,,,,,
,L'Abord à Plouffe,,,,,,,50,,,,,,,,,,,,,,,,
,Rivière des Prairies,,,,,,,15,,,,,,,,,,,,,,,,
,Laval des Rapides,,,,,,,25,,,,,,,,,,,,,,,,
Lóvis,Lévis,,,,1,,,,,,,,,,,,1,,,,,,,
,St-Henri de Lévis,,,,2,,,,,,,,,,,,,,,,,1,,
,St-Nicholas,,,,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Jean Port Joli,,,,,,,,,,,,,,,,4,,,,,,,
Lotbinière,Villeroy,,,,,,,3,,,,,,,,,,,,,,,,
,St-Edouard,,,,1,,,,,,,,,,,,,,,,,S,,
Maskinongé,St-Justin St-Didace,,,,,,,,,,,,,,,,,,,,,,,1
Matane,St-Benoft Joseph Labre Mont Joli,,,,1,,,,,,,,,,,,3,,,,,,,
,Priceville,,,,,,,,,,,,,,,,2,,,,,,,
,St-Octave de Métis,,,,,,,,,,,,,,,,5,,,,,,,3
Matapédia,St-Léon le Grand,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Mégantic,Thetford Mines,,,,,,,,,,,,,,,,,,,,,1,,
,Plessisville,,,,,,,,,,,,,,,,1,,,,,2,,
,Somerset,,,,,,,,,,,,,,,,,,,,,2,,
Missisquoi,Stanbridge Station,,,,1,,,,,,,,,,,,,,,,,,,
Papineau,N.-D. de Bonsecours,,,,,,,15,,,,,,,,,,,,,,,,
,Montebello,,,,2,,,16,,,,,,,,,,,,,,,,
,Ripon,,,,1,,,,,,,,,,,,,,,,,,,
,Pointe Gatineau,,,,,,,,,,,,,,,,,,,,,1,,
Pontiac,Litchfield,,,,,,,,,,,,,,1,,,,,,,,,
,Campbell's Bay,,,,,,,,,,,,,,1,,,,,,,,,
Portneuf,Pont Rouge,,,,,,,3,,,,,,,,,,,,,,,,
,Cap Santé,,,,,,,,,,,,,,,,1,,,,,,,
Québec,Giffard,,,,3,,,,,,,,,,,,,,,,,,,
,Loretteville,,,,1,,,,,,,,,,,,,,,,,,,
Richmond,Windsor, ville,,,,1,,,,,,,,,,,,,,,,,,,
,Brompton, canton,,,,1,,,,,,,,,,,,,,,,,,,
,Bromptonville,,,,,,,,,,,,,,,,2,,,,,,,
,Bedford,,,,,,,,,,,,,,,,1,,,,,,,
,Richmond,,,,,,,,,,,,2,,,,,,,,,,,
Rimouski,St-Anaclet,,,,,,,,,,,,,,,,5,,,,,,,
Shefford,Shefford, township,,,,2,,,,,,,,,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,,23,,,,,,,,,,,,8,,,,,,,1
,Ascot,,,,,,,,,,,,,,,,,,,,,,,
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,,,,,,,,
,St-Joseph,,,,1,,,,,,,,,,,,,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,,,,,,1,,
,Rock Island,,,,,,,,,,,,,,,,1,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,,,,,,,,,2,5
,St-Boniface,,,,,,,,,,,,,,,,,,,,,,,2
,Baie Shawinigan,,,,1,,,,,,,,,,,,,,,,,1,,
Témiscouata,St-Eloi,,,,,,,,,,,,,,,,,,,,,,,1
,Cacouna,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,St-Joseph de Mont-Rolland,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Adèle,,,,,,,,,,,,,,,,,,,,,2,,
,Prévost,,,,,,,,,,,,,,,,1,,,,,,,
Verchères,McMasterville,,,,,,,,,,,5,,,,,2,,,,,,,
,Belœil, ville,,,,,,,,,,,,,,,,,,,,,1,,
Westmount,Outremont,,,,,,,318,,,,5,,,6,6,9,,,1,,,17,
,Westmount,,,,,,,,,,,,,,,,10,,,,,,,
,Montréal West,,,,,,,144,,,,,,,,,1,,,,,,,
,Hampstead,,,,,,,,,,,,,,,,1,,,,,,,
Yamaska,St-François du Lac,,,,,,,,,,,,,,,,,,,,,1,,
,Totaux-Totals,,,55,263,,,9457,,2,,71,3,,118,19,388,,,141,,38,285,97
