Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Maskinongé,St-Justin St-Didace,,,,,,,,,,,,,,,,,,,,,2,,
Matane,St-Ulric,,,,,,,,,,,,,,,,,,,,,,,4
Matapédia,St-Léon le Grand,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Jeanne d'Are,,,,,,,,,,,,,,,,,,,,,1,,
Mégantic,Thetford Mines,,,,,,,,,,,,,,,,,,,1,,,,
,Plessisville,,,,4,,,,,,,,,,,,,,,,,,,
Missisquoi,Farnham, ville,,,,,,,64,,,,,,,,,2 1,,,,,,,
,Bedford Cowansville,,,,,,,,,,,,,,,,4,,,,,,,
Montmagny,St-Ignace de Stanbridge,,,,,,,,,,,,,,4,,11,,,,,1,,
Nicolet,Montmagny Nicolet,,,,,,,,,,,,,,,,,,,,,,,4
,Ste-Perpétue,,,,,,,,,,,,,,1,,4,,,1,,1,,
Papineau,Montebello,,,,1,,,15,,,,,,,,,,,,1,,,,
,Notre-Daine de Bonsecours Buckingham, township Pointe Gatineau,,,,1 2,,,1,,,,7,,,,,1,,,,,,,
Portneuf,Amherst,,,,15,,,,,,,,,,,,,,,,,1,,
,Portneuf, paroisse Donnacona,,,,,,,,,,,,,,,,,,,,,,,3
Québec,St-Colomb de Sillery,,,,,,,,,,,,,,,,2,,,,,,,
Richelieu,St-Joseph,,,,1,,,,,,,,,,,,,,,,,,,
Richmond,Richmond,,,,,,,,,,,,,,,,,,,,,1,,
,Brompton, eanton,,,,1,,,,,,,,,,,,,,,,,1,,
,Bromptonville,,,,2,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Rouville,St-Hilaire,,,,,,,,,,,,,,,,,,,1,,1,,
Saguenay,Ile d'Anticosti,,,,,,,20,,,,,,,,,,,,,,2,,
Shefford,Roxton Falls Granby,,,,,,,,,,,,,,,,3,,,,,,,
Sherbrooke,Sherbrooke,,,,8,,,,,,,,,,,,7,,,,,1,,
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,,,,,,1,,
,Stanstead, township,,,,,,,,,,,,,,,,,,,,,1,,
,West Hatley,,,,,,,,,,,,,,,,2,,,,,,,
St-Jean,St-Jean,,,,,,,,,,,,,,,,,,,,,1,,
,Lacolle,,,,,,,1,,,,,,,,,,,,,,,,
,St-Lue,,,,,,,,,,,,,,,,,,,1,,,,
St-Maurice,Shawinigan Falls,,,,3,,,,,,,,,,,,,,,,,,1,
Témiscouata,Rivière du Loup,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,St-Joseph de Mont Rolland,,,,2,,,,,,,,,,,,,,,,,,,1
,St-Sauveur des Monts,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jérôme,,,,5,,,,,,,,,,,,,,,,,,,
Verchères,McMasterville,,,,,,,,,,,2,,,,,,,,,,,1,
,St-Amable,,,,4,,,,,,,,,,,,,,,,,,,
Westmount,Outremont,,,,3,,,6,,,,3,,,3,2,18,,,1,,,2,
,Montreal West,,,,,,,,,,,,,,,,2,,,,,,1,
,Westmount,,,,,,,,,,,,,,,,5,,,,,,,
Wolfe,St-Camille,,,,6,,,,,,,,,,,,,,,,,,,
Yamaska,St-Thomas de Pierreville,,,,,,,,,,,,,,,,,,,1,,,,
,Totaux-Totals,,,65,269,,1,1633,,4,2,82,,,102,13,462,,,221,,43,160,46
Table: Table_3
,Montréal,,,41,124,1,13,43,,1,1,137,,,180,14,314,,,186,,4,179,16
,Québec,,,,12,,,,,,,,,,,,38,,,7,,4,5,2
,Trois-Rivières,,,,,,,,,,,,,,,,,,,1,,,,
Abitibi,Rouyn,,,,,,,,,,,,,,,,1,,,,,,,2
,Amos,,,,2,,,,,,,,,,,,,,,,,,,
,Poularis,,,,,,,,,,,,,,,,,,,,,1,,
Argenteuil,Gore,,,,,,,,,,,,,,,,1,,,,,,,
,Lakefield,,,,,,,,,,,,,,,,1,,,,,,,
,Grenville & Augmentation,,,,,,,,,,,,,,,,3,,,,,,,
Bagot,St-Liboire,,,,,,,,,,,,,,1,,,,,,,,,
