Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Beauce,Ste-Marie,,,,5,,,,,,,,,,,,,,,,,,,
,Sacré-Cœur de Jésus,,,,,,,,,,,2,,,,,,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,,
Bellechasse,St-Philémon,,,,,,,,,,,,,,,,1,,,,,,,
,St-Valier,,,,1,,,,,,,,,,,,,,,,,,,2
,St-Charles,,,,2,,,,,,,,,,,,,,,,,,,
Berthier,St-Gabriel de Brandon,,,,,,,,,,,,,,,,,,,,,,,
Brôme,Sutton, village Farnham-East,,,,1,,,,,,,,,,,,1,,,,,,,1
Bonaventure,Port Daniel-Est,,,,,,,,,,,,,,5,,,,,,,,,
,New Richmond,,,,,,,,,,,,,,,,,,,,,2,,
Chambly,Chambly Canton St-Lambert,,,,1,,,,,,,,,,,,2,,,,,4,,
Champlain,Cap Madèleine,,,,1,,,,,,,,,,,,1,,,,,,,
Châteauguay,Châteauguay Bassin,,,,,,,1,,,,,,,,,,,,,,,,
Chicoutimi,Jonquière,,,,1,,,,,,,,,,,,,,,,,,,
Compton,East Angus Clifton East Auckland,,,,1,,,,,,,,,,3,,1,,,,,,,
Dorchester,Ste-Justine,,,,4,,,,,,,,,,9,,,,,,,,,
Drummond,Drummondville,,,1,,,,,,,,,,,,,,,,,,,,
Gaspé,Gaspé, village Grande Grève Chandler,,,7,,,,,,,,,,,,,1 2,,,1,,,,
Hull,Hull Sud,,,,,,,,,,,,,,,,,,,,,,,
,Low,,,,,,,,,,,,,,,,1,,,,,,,
,Aylmer,,,,,,,,,,,,,,,,2,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Iberville,Iberville,,,,,,,,,,,,,,,,,,,1,,,,,
Jacques-Cartier,Verdun,,,1,7,,1,,,1,,,,,5,,21,,,1,,1,2,1,
,Lachine,,,1,2,,,,,,,,,,,,3,,,3,,1,2,,
,Ville LaSalle,,,,,,,,,,,,,,,,3,,,1,,,,,
,Beaconsfield,,,,,,,,,,,,,,,1,2,,,,,,,,
,Notre-Dame de Liesse,,,8,,,1,,,,2,4,,,13,,,,,1,,,,,
,Ville St-Pierre,,,,,,,,,,,1,,,,,,,,2,,,,,
,Pointe-Claire,,,,,,,,,2,,,,,,1,,,,,,,,,
,Town Mount-Royal,,,,,,,,,,,,,,,,2,,,,,1,,,
,St-Laurent,,,,3,,,,,,,,,,1,5,,,,1,,,1,,
Joliette,Joliette,,,,,,,,,,,,,,15,,2,,,,,,,1,
Lac St-Jean,Roberval,,,,,,,,,,,,,,,,,,,,,,,1,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,,,,,,1,,,
Laval,St-Martin,,,,,,,4,,,,,,,,,,,,,,,,,
,Ste-Rose, ville,,,,,,,1,,,,,,,,,,,,,,,,,
,Ste-Rose, paroisse,,,,2,,,,,,,,,,,,,,,,,,,,
,Montréal-Est,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Jean de Dieu,,,,,,1,,,,,,,,,,,,,,,,,,
Lévis,Lévis,,,,3,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Pamphile,,,,,,,,,,,,,,,,,,,,,1,,,
Lotbinière,Issoudun,,,,,,,,,,,,,,,,,,,,,,,1,
Maskinongé,St-Didace,,,,,,,,,,,,,,,,,,,,,,,2,
,St-Justin,,,,,,,,,,,,,,,,,,,,,1,5,,
,Maskinongé,,,,,,,,,,,,,,,,,,,,,6,,,
Matane,Priceville,,,,1,,,,,,,,,,,,1,,,,,,,,
Matapédia,Causapscal,,,,,,,,,,,,,,,,,,,,,,3,,
Mégantic,Lyster Station,,,,,,,,,,,,,,,,,,,,,2,,,
,Plessisville,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Pierre Baptiste,,,,,,,,,,,,,,,,2,,,,,,,,
Missisquoi,Bedford,,,,,,,,,,,,,,,,2,,,,,,,,
,Stanbridge-Est,,,,,,,,,,,,,,,,1,,,,,,,,
,Stanbridge Station,,,,,,,,,,,,,,,,1,,,,,,,,
,Cowansville,,,,,,,,,,,,,,1,,,,,,,,,,
,Farnham, village,,,,,,,,,,,,,,5,,,,,,,,,,
